LAPA EDU Application,School,# Students,# Adults,total,C.D.,S.D.,Zip,Concert
{CF4167D3-3208-E211-B0F4-005056825104},3rd Street Elementary,25,6,31,4,3,90004,2/5 10am Concert
{7E2AF98B-A10D-E211-B0F4-005056825104},32nd Street/USC Visual and Performing Arts Magnet School,68,12,80,8,1,90007,2/5 10am Concert
{F4E2019E-A30D-E211-B0F4-005056825104},52nd Street Elementary,50,4,54,9,2,90037,2/5 10am Concert
,122nd Street Elementary School,70,7,77,CoCounty,2,90061,2/5 10am Concert
{146513EF-F813-E211-B0F4-005056825104},232nd Place Elementary School,82,9,91,Car,2,90745,2/5 10am Concert
{3A9BC78F-0514-E211-B0F4-005056825104},Ascension Lutheran School,16,4,20,X,4,90504,2/5 10am Concert
{37E21379-B00D-E211-B0F4-005056825104},Brawerman Elementary School,28,5,32,11,3,90064,2/5 10am Concert
{8BCC4008-BD0D-E211-B0F4-005056825104},DELEVAN DRIVE Elementary,140,14,154,14,1,90065,2/5 10am Concert
{E36C2FAA-82F8-E111-B0F4-005056825104},Dolores Huerta Elementary School,90,9,99,9,1,90011,2/5 10am Concert
{981744FE-BA0D-E211-B0F4-005056825104},Dorris Place Elementary School,139,10,149,13,1,90031,2/5 10am Concert
{3DF2CA12-B80D-E211-B0F4-005056825104}, ,70,10,80,12,5,91344,2/5 10am Concert
{56E29860-BB0D-E211-B0F4-005056825104},Glenfeliz Boulevard Elementary,53,7,60,13,3,90039,2/5 10am Concert
{E0376179-2208-E211-B0F4-005056825104},GRATTS Elementary,140,16,156,1,1,90017,2/5 10am Concert
{D7056D16-3508-E211-B0F4-005056825104},Hancock Park Elementary School,30,4,34,4,3,90036,2/5 10am Concert
{0E8B06B9-A60D-E211-B0F4-005056825104},Immaculate Conception School,55,8,63,9,2,90017,2/5 10am Concert
{C02E1E0B-B20D-E211-B0F4-005056825104},Kentwood Elementary School,65,4,69,11,4,90045,2/5 10am Concert
,Lankershim Elementary School,85,10,95,2,3,91601,2/5 10am Concert
{A407C080-AD0D-E211-B0F4-005056825104},MARVIN Elementary,60,6,66,10,2,90016,2/5 10am Concert
{B4984784-BA0D-E211-B0F4-005056825104},Monarch Christian School,30,10,40,12,5,91311,2/5 10am Concert
{29B20C2D-C00D-E211-B0F4-005056825104},Multnomah Elementary School,70,9,79,14,1,90032,2/5 10am Concert
{32C6C64D-AE0D-E211-B0F4-005056825104},New Open World Academy,90,9,99,10,2,90005,2/5 10am Concert
{14A9C23E-F613-E211-B0F4-005056825104},ROCKDALE Elementary,50,4,54,14,5,90041,2/5 10am Concert
