Name,Address,City,State,Zip,Partner type,S.D.
49th Street Elementary School,750 East 49th Street,Los Angeles,CA,90011,School,2
15th Street School,1527 South Mesa Street,San Pedro,CA,90731,School,4
232nd Place Elementary School,23240 Archibald Ave,Carson,CA,90745,School,2
3rd Street Elementary,201 South June Street,Los Angeles,CA,90004,School,2
52nd Street School,816 West 51st Street,Los Angeles,CA,90037,School,2
61st Street Elementary,6020 South Figueroa Street,Los Angeles,CA,90003,School,2
6th Avenue Elementary,3109 Sixth Avenue,Los Angeles,CA,90018,School,2
75th Street Elementary,142 West 75th Street,Los Angeles,CA,90003,School,2
Accelerated Charter Elementary ,119 East 37th Street,Los Angeles,CA,90011,School,2
Alexander Science Center,3737 South Figueroa Street,Los Angeles,CA,90007,School,2
Alexandria Avenue Elementary,4211 Oakwood Avenue,Los Angeles,CA,90004,School,2
Anatola Avenue Elementary,7364 Anatola Avenue,Los Angeles,CA,91406,School,3
Arroyo Vista Elementary School,335 El Centro Street,South Pasadena,CA,91030,School,5
Artesia High School,12108 East Del Amo Boulevard,Lakewood,CA,90715,School,4
Ascension Catholic School,500 West 111th Place,Los Angeles,CA,90044,School,2
Banyan Elementary,10900 Mirador,Alta Loma,CA,91737,School,NONE
Barranca Elementary,727 South Barranca Avenue,Covina,CA,91723,School,5
Berendo Middle School,1157 South Berendo Street,Los Angeles,CA,90006,School,2
Berkeley Hall School,16000 Mulholland Drive,Los Angeles,CA,90049,School,3
Beverly Vista School,200 South Elm Drive,Beverly Hills,CA,90212,School,3
Brawerman Elementary School,11661 West Olympic Boulevard,Los Angeles,CA,90064,School,2
Brentwood Science Magnet,740 Gretna Green Way,Los Angeles,CA,90049,School,3
Bridge Elementary,605 North Boyle Avenue,Los Angeles,CA,90033,School,1
Bright Star Secondary Academy,5431 West 98th Street,Los Angeles,CA,90045,School,2
Bushnell Elementary,5507 Bushnell Way,Los Angeles,CA,90042,School,1
Cactus School,3243 East Avenue R-8,Palmdale,CA,93550,School,5
Calvary Christian School,701 Palisades Drive,Pacific Palisades,CA,90272,School,3
Camino Nuevo-Burlington site,697 South Burlington,Los Angeles,CA ,90057,School,1
