CENTER NAME,COUNCIL DISTRICT,PHONE,EMAIL,WEBSITE,HOURS,PARKING,ART CLASSES,DESCRIPTION,ADDRESS
Madrid Theatre,3,(818) 347-9419,madrid.booking@lacity.org,http://madridtheatre.culturela.org/,"10am - 6pm, Tue - Thur",Public Parking is conveniently located nearby,no,"The Madrid Theatre is a 440-seat professional-level performing arts facility located in the heart of historic âAntique Rowâ in downtown Canoga Park, California. This state-of-the-art theatre has been constructed on the site of the original Madrid Theatre movie house, destroyed in the 1994 Northridge earthquake. Once called âthe largest theatre on the smallest piece of land in the United Statesâ, the Madrid Theatre is operated as a reasonably priced rental house for live theatre, dance, and musical presentations.

Our goal is to encourage the presentation of artistic and cultural events at reasonable admission prices and to maximize attendance and audience development.","21622 Sherman Way
Canoga Park, CA 91303
"
Warner Grand Theatre,15,(310) 548-2493,Lee.Sweet@lacity.org,http://grandvision.org,10am to 5pm M-F and weekends,"Parking is at street meters and metered City parking lots on all streets surrounding WGT. Meters are ""live"" until 6pm Mon - Sat. Parking is free all day on Sunday.",no,"The Warner Grand Theatre (WGT) opened in 1931, one of three Art Deco/Moderne âneighborhood picture palacesâ built by Warner Brothers Studio in the Los Angeles area. Seating for 1,489 patrons is split between a main floor orchestra (889) and a mezzanine loge and balcony (600). While built as a movie theater, Warner Grand today features a proscenium stage (50â² W x 32â² D) with a T-guided flys system suited to presenting concerts, dance, musicals, comedy and drama, and film screenings.

The City of Los Angeles acquired Warner Grand Theatre in 1996 and assigned operations and programming to the Department of Cultural Affairs (DCA). Since that time, DCA has operated the facility as a low-cost rental and presenting house with a mission to make the facility and its resources available to artists and companies from around the City, and for use by local community groups and partners at an affordable cost.

In addition to an annual slate of perennial and new productions, Warner Grand Theatre is a familiar and popular site for filming and video of commercials, tv and film and music videos, and weddings and other special events.

Promotion and marketing of shows and events, equipment upgrades and restoration and renovation of the aesthetic features of the facility are accomplished through a partnership with Grand Vision Foundation, a San Pedro-based nonprofit that serves as the official Friends group of the Warner Grand Theatre.","478 W 6th St
San Pedro, CA 90731
"
Hollyhock House,13,(323) 913-4030,hollyhock@barnsdall.org,http://barnsdall.org,Thursday - Sunday 11 a.m. - 3 p.m.,On-site parking,no,"Hollyhock House was designed by Americanâs most important 20th century architect, Frank Lloyd Wright. The house was commissioned by oil heiress and theatre producer Aline Barnsdall. It was built between 1919 and 1921. Aline Barnsdall was also a philanthropist and in 1927 gave the house and the surrounding twelve acres atop Olive Hill (now Barnsdall Park) to the City of Los Angeles as a memorial to her father Theodore.

Hollyhock House is named for Barnsdallâs favorite flower â the hollyhock. Wright chose to create an abstract design of the flower which he then used comprehensively to create the unique decorative frieze elements that encircle the residence, inform the furniture and textiles, and even the floor plan.

In 2012 Hollyhock House underwent an extensive restoration of the public rooms which are now open for visitors to tour. It is the only Frank Lloyd Wright residence in Los Angeles open to the public.

Hollyhock House is a National Historic Landmark and has been nominated to be placed on the UNESCO World Heritage List.","4800 Hollywood Boulevard
Los Angeles, California 90027
"
William Grant Still Art Center,10,(323) 734-1165,ami.motevalli@lacity.org,https://wgsac.wordpress.com/,"12 - 5 pm Tuesday - Saturday, unless for special programming or classes",Street parking,yes,"Founded in 1977, William Grant Still Arts Center is a facility of the City of Los Angeles Department of Cultural Affairs offering summer camp, creative workshops, music and art classes for adults and youth, an exhibition space, concerts, and a place for community meetings and the neighborhood to come together.

The Center offers:

Art, movement, and music classes for seniors, adults, teens, and children, including early childhood education;
Professionally-produced exhibitions that include the annual Black Doll Show, now in itâs 35th year, and the African-American Composers Exhibition and Education series that displays archives and teaches music and art through the life and work of a selected composer;
Art & Jazz Summer Day Camp for ages 3-12;
Jazz-based ensemble instruction;
Partnerships with teachers at local schools and universities; and
Readings, film screenings, and concerts throughout the year
Our namesake, Dr. William Grant Still, first coined the term âart musicâ, which is very much in line the educational goals of our community arts center. All of the William Grant Still Arts Centerâs programs are free, or are as low-cost as is possible, in order to be accessible to all in our community.","2520 South West View Street
Los Angeles, CA 90016
"
McGroarty Arts Center,2,(818) 352-0865,info@mcgroartyartscenter.org,http://www.mcgroartyartscenter.org/,"Office Hours: Monday - Friday, 8:30am - 6:00pm

Classes: Monday - Saturday ",On site and street parking  ,yes,"McGroarty Arts Center provides access to the arts through in-depth arts instruction and experiences. Affordable or free multidisciplinary arts instruction is offered to at-risk youth, children, and families, as are performances, exhibitions and events that engage the greater public. The Center is a venue for artists to present their work, while preserving the legacy of John Steven McGroarty and his historic home.

Since 1995, McGroarty Arts Center has been operated by a non-profit organization (known as Friends of the McGroarty Arts Center), in partnership with the Department of Cultural Affairs, City of Los Angeles.","7570 McGroarty Terrace
Tujunga, CA 91042
"
"Vision Theatre / Manchester Youth Arts Center 
",10,(323) 290-2386,leimertparkvisiontheatre@gmail.com,http://www.thevisiontheater.com,12 noon - 8 pm Mon - Sat,Off Street Parking in the Vision Theater Lot 764,yes,"A large neighborhood movie palace, this 1931 Spanish-style art-Deco wonder has retained its importance to the community for over 80 years since it first opened as the Leimert Theatre in 1931. It became a neighborhood movie theater soon after opening and was operated by Fox West Coast Theaters. Designed in a classic southern California streamlined Spanish Colonial style, the tall steel frame on top of the lower stucco clad tower originally had the theaterâs name on it, and is a landmark for the area.

Actress Marla Gibbs purchased the theater in 1990, and renamed it the Vision Theatre. The theater fell on hard times after the 1992 uprising and the economic recession which hit this area of Los Angeles. The bank foreclosed on the property in 1997 and the City took it over. The theater was later converted into a performing arts center and participated each year in the Pan African Film Festival.

The Vision Theatre completed a $11 million renovation in 2011 and final construction on phases II, III and IV began October 2015 to reconfigure seating within the existing walls, add a lounge area under the seating, enlarge the stage, add a fly loft with office spaces, and build lower level dressing rooms, green rooms, trap room, technical staff office space, and orchestra pit.

The goals of the Vision Theatre is to provide a performing arts venue for professional performing arts presentations and productions; a training center for diverse cultural talent reflective of the surrounding Leimert Park and Baldwin Hills community; to produce and present diverse world class theater, music, and dance concert productions, along with offering a variety of cultural forums; and to serve as a center for community meetings.","3341 West 43rd Place
Los Angeles, CA 90008
"
Barnsdall Junior Arts Center & Barnsdall Junior Arts Center Gallery,13,(323) 644-6275,jacbac@sbcglobal.net,http://www.barnsdallonline.com,Monday - Friday from 9 a.m. to 6 p.m. and Saturday from 9 a.m. to 5:00 p.m.,Limited on-site parking on a first-come first-served basis,yes,"The love of children, the love of childhood, and the love of the arts have been the basis of arts programming for children, youth and their families at the Barnsdall Junior Arts Center (JAC) since 1967. The Center is known nationwide as one of a small number of distinguished institutions devoted to excellence, originality, public service and artistic creativity. The Center has provided resources and impetus for extensive, quality arts programming reaching the diverse communities of a dynamic city. The JAC offers extensive arts programs to children and youth, ages 3 â 17. Art instruction held at the Center throughout the year includes drawing, painting, theatre games, printmaking, photography, sculpture, cartooning, art of clay and more. Parent-Child classes are also available.

The Barnsdall JAC Gallery is a 2,000 square foot venue that offers an intimate space for artists who have produced a significant body of high quality work, as well as smaller thematic group shows. The Gallery produces five to six exhibitions in the calendar year, and continues the Centerâs almost 50 years mission of promoting and presenting to the general public the art of JAC Students, JAC and Barnsdall Art Center (BAC) Students, and artists from culturally diverse Southern California.","4814 Hollywood Boulevard
Los Angeles, CA 90027
"
Barnsdall Art Center,13,(323) 644-6295,jacbac@sbcglobal.net,http://www.barnsdallonline.com,Monday through Friday from 9 a.m. to 9:30 p.m. and Saturday from 9 a.m. to 6:30 p.m.,Limited on-site parking on a first-come first-served basis,yes,"The Barnsdall Art Center (BAC), a program for adults, has been providing college level arts instruction at low cost for over 50 years. This program of extremely popular classes in the visual and performing arts is presented by a select staff of instructors drawn from the art departments of prestigious colleges and universities, art schools, and other exemplary institutions. Many of the instructors are working professionals whose work is exhibited locally, nationally and internationally. The primary disciplines taught are drawing, painting, ceramics, jewelry, sculpture, and photography. Workshops teaching various art forms provide additional richness, and the uninstructed life-drawing workshops offer independent work to those involved, from the model to advanced students and professional artists. The BAC has earned its reputation for challenging instruction in small informal classes and an atmosphere of a community.","4814 Hollywood Boulevard
Los Angeles, CA 90027
"
Barnsdall Gallery Theatre,13,(323) 644-6272,info@BGTTix.com,http://barnsdall.org/barnsdall-gallery-theater/,Administrative Office hours are Wednesday - Friday 12:00 PM - 5:00 PM,Limited on-site parking on a first-come first-served basis,yes,"The Barnsdall Gallery Theatre (BGT) is owned and operated by the City of Los Angeles, Department of Cultural Affairâs Community Arts Division, as a lowÂ-priced rental house available for live theatre, dance, music, spoken word, lecture, film and special events.

The Theatre is a 299-seat proscenium stage with a basic lighting and sound package, as well as a high Âdefinition digital projector and a built-Âin 16mm film, slide and video projector. The Theatreâs goal is to encourage community and professional producers to present artistic and diverse cultural events at the lowest possible admission price to maximize attendance and audience engagement.","4814 Hollywood Boulevard
Los Angeles, CA 90027
"
Lankershim Arts Center,2,(818) 752-7568,administrator@lankershimartscenter.com,http://www.lankershimartscenter.com,"Office hours 1 - 5PM Mon - Fri; Gallery 800 2 - 8PM Thurs - Sat & 2 - 6PM Sun; classes Tues 7 - 11PM, Sat 10 - 12:30PM; theatre performances and other events vary",Street parking only,no,"The Historic Lankershim Arts Center is an all-inclusive arts facility located in the heart of North Hollywood in the NoHo Arts District. For several years, the Center has been operated by The Other Side of the Hill Productions, Inc., a registered not-for-profit company, providing quality theatre, fine art and various arts programs. The Center is home to the award-winning Road Theatre Company, Gallery 800, and many arts programs geared to the growing NoHo arts community. Built circa 1939 as a Department of Water & Power Building, the Lankershim Arts Center was renovated and transformed into an arts center by the Department of Cultural Affairs of the City of Los Angeles. It is now a registered cultural landmark.","5108 Lankershim Blvd
North Hollywood, CA 91601
"
