FSCS ID,FSCS ID_SEQ,LIBRARY ID,LIBRARY NAME,PHONE,COUNTY,LOCATION,LOCALE,COUNTY POPULATION,OUTLET TYPE,SQ FEET,BOOKMOBILES,HOURS,WEEKS OPEN,METRO STATUS,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE
AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,9072355692,KENAI PENINSULA,"72551 MILO FRITZ AVENUE ANCHOR POINT
AK 99556
(59.779604, -151.840007)",43,57477,CE,1287,0,1377,51,NO,0,0,0
AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER NEIGHBORHOOD LIBRARY,9073431530,ANCHORAGE,"12001 BUSINESS BOULEVARD #176 EAGLE RIVER
AK 99577
(61.328973, -149.572216)",31,301010,BR,17888,0,2028,52,CC,0,0,0
AK0002,008,AK0002-008,MULDOON NEIGHBORHOOD LIBRARY,9073434223,ANCHORAGE,"1251 MULDOON ROAD
ANCHORAGE, AK 99504
(61.210605, -149.733371)",11,301010,BR,8232,0,1768,52,CC,0,0,0
AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH NEIGHBORHOOD LIBRARY,9073434024,ANCHORAGE,"250 EGLOFF DRIVE
GIRDWOOD, AK 99587
(60.971814, -149.126406)",42,301010,BR,3938,0,1716,52,CC,0,0,0
AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,9073432975,ANCHORAGE,"3600 DENALI STREET
ANCHORAGE, AK 99503
(61.187677, -149.876781)",11,301010,CE,140000,0,3328,52,CC,0,0,0
AK0002,012,AK0002-012,MOUNTAIN VIEW NEIGHBORHOOD LIBRARY,9073432818,ANCHORAGE,"120 SOUTH BRAGAW STREET
ANCHORAGE, AK 99508
(61.223762, -149.808525)",11,301010,BR,10704,0,1768,52,CC,0,0,0
AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,9075822628,DENALI,"101 FIRST STREET
ANDERSON, AK 99744
(64.343598, -149.178635)",43,1921,CE,3041,0,480,48,NO,0,0,0
AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,9075434516,BETHEL,"420 CHIEF EDDIE HOFFMAN HIGHWAY
BETHEL, AK 99559
(60.785755, -161.802957)",33,17868,CE,3656,0,2912,52,NO,0,0,0
AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,9078926475,MATANUSKA-SUSITNA,"3140 SOUTH BIG LAKE ROAD BIG LAKE
AK 99652
(61.546612, -149.818403)",42,97882,CE,6940,0,2548,52,NO,0,0,0
AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,9077682372,DENALI,"1 SCHOOL ROAD
CANTWELL, AK 99729
(63.461051, -148.757407)",43,1921,CE,1363,0,750,48,NO,0,0,0
AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,9074863022,KODIAK ISLAND,"43318 SPRUCE WAY
CHINIAK, AK 99615
(57.612229, -152.232581)",43,13986,CE,1000,0,720,48,NO,0,0,0
AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,9075322878,ALEUTIANS EAST,"10 BARANOV ROAD
COLD BAY, AK 99571
(55.206634, -162.713392)",43,3360,CE,1100,0,480,48,NO,0,0,0
AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,9075951241,KENAI PENINSULA,"8 BEAN CREEK ROAD COOPER LANDING
AK 99572
(60.487401, -150.010519)",43,57477,CE,1320,0,1092,52,NO,0,0,0
AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,9074246667,VALDEZ-CORDOVA,"622 FIRST STREET
CORDOVA, AK 99574
(60.547995, -145.766031)",43,9488,CE,2800,0,2652,52,NO,0,0,0
AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,9078263281,PR WALES-OUTER KE,"504 THIRD STREET
CRAIG, AK 99921
(55.476126, -133.151456)",43,6396,CE,1800,0,2355,52,NO,0,0,0
