Bookstore,Location,City,Phone
C M School Supply,"5440 E Del AMO Blvd
Long Beach, CA 90808
",Long Beach,
Kinokuniya Book Stores of America Company. Ltd.,"123 Astronaut Ellison S
Los Angeles, CA 90001
",Los Angeles,
Libreria Cristiana Un Solo Dios,"18824 Roscoe Blvd
Los Angeles, CA 91335
",Los Angeles,
LMU Bookstore,"Ignatius Circ
Los Angeles, CA 90045
",Los Angeles,
Loyola Marymount University Bookstore,"1 Loyola Marymount University Dr
Los Angeles, CA 90045
",Los Angeles,(310) 338-2889
New World Book Store,"1234 Golden W Ave
Arcadia, CA 91007
",Arcadia,
Sawtelle Books & Music,"13301 W Olympic Blvd
Los Angeles, CA 90025
",Los Angeles,
Twelve n Twelve,"12118 Santa Monica Blvd
Santa Monica, CA 90404
",Santa Monica,(310) 207-8895
"Diesel, A Bookstore","225 26th St, ste 33
Santa Monica, CA 90402
(34.047425, -118.490816)",Santa Monica,(310) 576-9960
Windsor Hills Christian Book Center,"4438 W Slauson Avenue
Los Angeles, CA 90043
(33.988844, -118.352743)",Los Angeles,
Gatsby Books,"5535 E Spring St
Long Beach, CA 90808
(33.810602, -118.124543)",Long Beach,
Piggyback Books Inc,"3350 E 7th St
Long Beach, CA 90804
(33.775334, -118.15263)",Long Beach,
Ng Hing Kee of Los Angeles,"518 W Garvey Ave
Monterey Park, CA 91754
(34.062408, -118.129552)",Monterey Park,
UCLA Bookstore,"308 Westwood Plaza
Los Angeles, CA 90024
(34.069533, -118.445027)",Los Angeles,(310) 825-7711
Three Geese in Flight Books,"101 N Croft Ave
Los Angeles, CA 90048
(34.074521, -118.3742)",Los Angeles,
Zahra's Books and Things,"900 N. La Brea Avenue
Inglewood, CA 90302
(33.974739, -118.357665)",Inglewood,310-330-1300
Korean Christian Book Center,"1027 S Western Avenue
Los Angeles, CA 90006
(34.051577, -118.309054)",Los Angeles,
EBP Catholic Store,"9440 Flower St
Bellflower, CA 90706
(33.882052, -118.132436)",Bellflower,
Theosophy Hall,"245 W 33rd St
Los Angeles, CA 90007
(34.020808, -118.275405)",Los Angeles,(213) 748-7244
"Hennessey & Ingalls, Inc","300 S Santa Fe Ave
Los Angeles, CA 90012
(34.045985, -118.232625)",Los Angeles,(323) 466-1256
Little Bookworm Tutoring Center,"11217 1st Ave
Whittier, CA 90603
(33.930762, -117.985454)",Whittier,
Ult Theosophy Co the,"245 W 33rd St
Los Angeles, CA 90007
(34.020808, -118.275405)",Los Angeles,
Southwestern Law School,"675 S Westmoreland Ave
Los Angeles, CA 90005
(34.060699, -118.289088)",Los Angeles,(213) 738-6737
Wacko Soap Plant,"4633 Hollywood Blvd
Hollywood, CA 90027
(34.100201, -118.2902)",Hollywood,(323) 663-0122
Revolution Books,"5726 Hollywood Blvd
Los Angeles, CA 90028
(34.101697, -118.314712)",Los Angeles,(323) 463-3500
Jerusalen Ribiera Christiano,"919 S Soto Street
Los Angeles, CA 90023
(34.033607, -118.216128)",Los Angeles,
Cathedral of Our Lady of the Angels Bookstore,"555 W Temple St
Los Angeles, CA 90012
(34.057302, -118.245403)",Los Angeles,(213) 680-5277
Kolbe Ketab,"1518 Westwood Blvd
Los Angeles, CA 90024
(34.053443, -118.440153)",Los Angeles,
Opes,"2785 W Olympic Boulevard
Los Angeles, CA 90006
(34.052645, -118.294331)",Los Angeles,
Transmedia U S A Company,"2978 Wilshire Boulevard
Los Angeles, CA 90010
(34.061774, -118.286363)",Los Angeles,
One Dollar Bookstore,"101 S Pine Ave
Long Beach, CA 90802
(33.764097, -118.192352)",Long Beach,
Merlin's Crystal Cave,"415 W Foothill Blvd
Claremont, CA 91711
(34.107127, -117.721038)",Claremont,
Cookbooks Plus,"24267 Main St
Newhall, CA 91321
(34.37811, -118.527366)",Newhall,
My 12 Step Bookstore,"8730 Santa Monica Blvd
West Hollywood, CA 90069
(34.086812, -118.381144)",West Hollywood,(310) 623-1702
Village Books,"1049 Swarthmore Ave
Los Angeles, CA 90272
(34.048098, -118.525113)",Los Angeles,(310) 454-4063
Century Books,"1039 E Green St
Pasadena, CA 91106
(34.144584, -118.128785)",Pasadena,
Dollar Book Store,"112 Plaza Dr
West Covina, CA 91790
(34.070553, -117.936832)",West Covina,
Chapel Store,"12820 Woodruff Ave
Downey, CA 90242
(33.914664, -118.116678)",Downey,
Student Books,"1725 N Eastern Ave
Los Angeles, CA 90032
(34.061342, -118.175577)",Los Angeles,(323) 262-5511
Melrose Music & Comics,"7301 Melrose Ave
Los Angeles, CA 90046
(34.083527, -118.348606)",Los Angeles,(323) 934-3373
Village Book Shop,"125 N. Glendora Ave
Glendora, CA 91741
(34.136775, -117.865462)",Glendora,(626) 335-5720
Comics v Toys,"1613 Colorado Blvd
Los Angeles, CA 90041
(34.139549, -118.20157)",Los Angeles,(323) 258-2300
Jiu Jit Notes,"217 E Burnett St
Long Beach, CA 90806
(33.800747, -118.190802)",Long Beach,
Libreria Cristiana Salem,"1231 Locust Ave
Long Beach, CA 90813
(33.781861, -118.191523)",Long Beach,
Hollywood Reporter,"5700 Wilshire Blvd
Los Angeles, CA 90036
(34.062357, -118.353489)",Los Angeles,
Mitzvah Store,"9400 W Pico Blvd
Los Angeles, CA 90035
(34.055243, -118.394504)",Los Angeles,
Pico Bookstore& Judaica Center,"8971 W Pico Blvd
Los Angeles, CA 90035
(34.055268, -118.387504)",Los Angeles,
Thematic Attic,"235 E Badillo St
Covina, CA 91723
(34.086302, -117.886604)",Covina,
Barnes & Noble,"1201 3rd St
Santa Monica, CA 90401
(34.018346, -118.49926)",Santa Monica,(310) 260-9110
Great Wall,"970 N Broadway
Los Angeles, CA 90012
(34.065901, -118.236455)",Los Angeles,(213) 617-2817
Dark Delicacies,"4213 West Burbank Blvd
Burbank, CA 91505
(34.172706, -118.356174)",Burbank,(818) 556-6660
Mystic's Altar,"120 N Maclay Ave
San Fernando, CA 91340
(34.284694, -118.439397)",San Fernando,
Upper Room Christian Bookstore,"322 S Garey Ave
Pomona, CA 91766
(34.056625, -117.750098)",Pomona,
Midwest Living,"11766 Wilshire Blvd Ste 260
Los Angeles, CA 90025
(34.04832, -118.462258)",Los Angeles,
Niming Books Company,"969 N Hill Street
Los Angeles, CA 90012
(34.065885, -118.238)",Los Angeles,
SCV Book Exchange,"25864 Tournament Rd
Santa Clarita, CA 91355
(34.391765, -118.562577)",Santa Clarita,
Talking Book World,"2298 Foothill Blvd
La Verne, CA 91750
(34.112286, -117.762235)",La Verne,
Jesus Es El Senor,"8538 Van Nuys Blvd
Panorama City, CA 91402
(34.225607, -118.448949)",Panorama City,
USC Medical Bookstore,"1969 Zonal Ave
Los Angeles, CA 90089
(34.060412, -118.206896)",Los Angeles,(323) 442-2674
Bank of Books,"29169 Heathercliff Rd
Malibu, CA 90265
(34.021032, -118.809185)",Malibu,
Teocintli,"2717 E 4th St
Los Angeles, CA 90033
(34.03872, -118.207533)",Los Angeles,
Leaders Book Store,"15010 Paramount Blvd
Paramount, CA 90723
(33.896692, -118.160049)",Paramount,
Libreria Mexico San Fernando,"319 S MacLay Ave
San Fernando, CA 91340
(34.282082, -118.442973)",San Fernando,
Judah Box,"344 S Market Street
Inglewood, CA 90301
(33.959725, -118.351876)",Inglewood,
Claudia Leal & Associates,"3440 Wilshire Blvd
Los Angeles, CA 90010
(34.061756, -118.299072)",Los Angeles,
Bag & Board Comics,"10203 Colima Rd
Whittier, CA 90603
(33.94305, -118.010992)",Whittier,
"Go!  Calendars, Games, Toys, & Books","8500 Beverly Blvd
Los Angeles, CA 90048
(34.07605, -118.377494)",Los Angeles,
Western University Bookstore,"395 E 2nd St
Pomona, CA 91766
(34.057912, -117.747064)",Pomona,
Rosa De Saron Libreria Christiana,"4170 S Vermont Avenue
Los Angeles, CA 90037
(34.007824, -118.291544)",Los Angeles,
Book'em Mysteries Book Store,"1118 Mission St.
South Pasadena, CA 91030
(34.115762, -118.154334)",South Pasadena,(626) 799-9600 / (800) 4BOOKEM
Cerritos College Bookstore,"11190 Alondra Blvd
Norwalk, CA 90650
(33.887504, -118.095733)",Norwalk,
