School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Inglewood Unified,Daniel Freeman Elementary (this school is now closed),,2006, K-06,198,19.7,69.2%,19.8,713,The Music Center,Dance,,,,,
Los Angeles Unified,Woodlake Elementary Community Charter,"23231 Hatteras Street
Woodland Hills 91367
(34.17555809600003, -118.63351899499997)",n/a, K-05,569,22.7,22.3%,21.1,881,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Logan Street Elementary,"1711 West Montana Street
Los Angeles 90026
(34.07850485500006, -118.25785553499998)",n/a, K-07,486,24.5,82.9%,20.3,741,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Playa Vista Elementary,"13150 West Bluff Creek Drive
Playa Vista 90094
(33.96841397800006, -118.425649352)",n/a,no data,,,,,,The Music Center,,,,Music/Opera,,
Pasadena Unified,Willard Elementary,"301 South Madre Street
Pasadena 91107
(34.14160947000005, -118.08157689999996)",2003, K-05,692,27,67.3%,19.8,869,Armory Center for the Arts; Autry Museum; Pasadena Conservatory of Music; Pasadena Museum of California Art; Side Street Projects,,,,Music/Opera,,Visual Art
Los Angeles Unified,Boyle Heights Continuation,"544 South Mathews Street
Los Angeles 90033
(34.037886995000065, -118.21207669499995)",n/a, 09-12,79,21.1,46.8%,26.3,415,artworxLA (formerly The Heart Project),Dance,Literature,,Music/Opera,,Visual Art
Los Angeles Unified,South Gate Senior High,"3351 Firestone Boulevard
South Gate 90280
(33.95460607500007, -118.20980644399998)",n/a, 09-12,3325,32.3,69.9%,27.9,693,Kate Randolph; The Music Center,,,,,Theatre,
Pasadena Unified,Jackson Elementary,"593 West Woodbury Road
Altadena 91001
(34.183190240000044, -118.16289025299994)",2003, K-05,306,25.3,96.7%,21.9,768,Armory Center for the Arts; Pasadena Conservatory of Music; Shumei Arts Council; Side Street Projects; Side Street Projects,,,,Music/Opera,,Visual Art
Los Angeles Unified,Stella Middle Charter Academy,"2636 Mansfield Avenue
Los Angeles 90016
(34.03143875200004, -118.35255005399995)",n/a, 05-08,614,30.8,87%,31,811,The Music Center; Will Geer Theatricum Botanicum,Dance,,,,Theatre,
Los Angeles Unified,Youth Oppportunities Unlimited,"915 West Manchester Avenue
Los Angeles 90044
(33.960068808000074, -118.28967317399997)",n/a, 09-12,325,19.1,46.5%,18.1,501,Saturday Night Bath Concert Fund; Watts Village Theater Company,,Literature,,Music/Opera,Theatre,
Hacienda la Puente Unified,Lassalette,"14333 Lassalette Street
La Puente 91744
(34.044465381000066, -117.97151460899994)",2004, K-08,695,25.6,92.8%,22.3,822,Autry Museum; Inland Pacific Ballet,Dance,,,,,Visual Art
Norwalk-La Mirada Unified,Escalona Elementary,"15135 Escalona Road
La Mirada 90638
(33.893897512000024, -118.01164222099999)",2003, K-05,536,26.8,35.4%,24.7,905,La Mirada Symphony Association,,,,Music/Opera,,
