Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Contact Name,Contact Number,Supervisor District,Year
Louie Cruz Beltran,City of South Pasadena,08/09/2015,5:00 PM,7:00 PM,Garfield Park,"1000 Park Avenue
South Pasadena, CA 91030
(34.115407564000066, -118.14773007999997)",Anthony Kim,626-403-7382,4,2015
Michael Haggins Group,Jackie Robinson Park,08/08/2015,7:00 PM,9:00 PM,Jackie Robinson Park,"8773 East Avenue R
Littlerock, CA 93543
(34.572354172000075, -117.97291576899994)",Peg Lee,661-944-2880,2,2015
Michael Haggins Group,Jesse Owens Park ,07/16/2015,6:00 PM,8:00 PM,Jesse Owens park,"9651 S. Western Ave .
Los Angeles, CA 90047
(33.94740610100007, -118.30904278499997)",Reggie Hamilton,323-241-6704,1,2015
Gyasi Ross,La Crescenta Library ,07/18/2015,2:00 PM,4:00 PM,La Crescenta Library,"2809 Foothill Blvd
La Crescenta, CA 91214
(34.22445352700004, -118.24035312699999)",Marta Wiggins,818-248-5314,1,2015
El Haru Kuroi,LA Plaza de Cultura y Artes,07/18/2015,7:00 PM,8:00 PM,LA Plaza de Cultura y Artes,"501 N Main Street
Los Angeles, CA 90012
(34.05631075500003, -118.23963104499995)",Ximena Minotta Martin,213-542-6226,5,2015
Hound Dog Dave and the Meltones,City of Norwalk Senior Center,08/22/2015,1:00 PM,4:00 PM,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk, CA 90650
(33.90367818400006, -118.08088904599998)",Daniel Abrego,562-929-5580,4,2015
Quattrosound,Pico Rivera Library,07/29/2015,6:00 PM,8:00 PM,Pico Rivera Library,"9001 Mines Avenue
Pico Rivera, CA 90660
(33.99203842900005, -118.08991658699995)",Chris Warburton,562-942-7394,3,2015
Big Papa and the TCB,Richard Rioux Park,09/05/2015,6:30 PM,8:30 PM,Richard Rioux Park,"26233 W. Faulkner Drive
Stevenson Ranch, CA 91381
(34.389987820000044, -118.59502587499998)",Doug Newell,661-222-9536,2,2015
Conjunto Los Pochos,Roosevelt Park,07/30/2015,6:00 PM,9:00 PM,Roosevelt Park,"7600 Graham Avenue
Los Angeles, CA 90001
(33.97213080700004, -118.242996861)",Charlotte Robinson-Perkins,323-586-7217,1,2015
South of Ziggy,Pasadena Arts Council,09/17/2015,7:00 PM,8:30 PM,South Pasadena Public Library,"1115 El Centro
South Pasadena, CA 91030
(34.11470794200005, -118.15477013399999)",Howard Spector,310-741-7650,5,2015
Cunao,Stephen Sorensen Park,09/05/2015,7:00 PM,9:00 PM,Stephen Sorensen Park,"16801 E. Avenue P
Lake Los Angeles, CA 93591
(34.601925857000026, -117.80364554199997)",Jeff Dorst,661-940-7701,3,2015
Yari More Latin Band,City of West Covina,07/16/2015,7:00 PM,9:30 PM,West Covina Civic Center,"1444 West Garvey Avenue
West Covina, CA 91790
(34.07089122800005, -117.95071312199997)",Monica Farian,626-290-6151,1,2015
Eric Ekstrand Ensemble,West Creek Park,09/19/2015,6:00 PM,9:00 PM,West Creek Park,"24247 Village Circle W.
Saugus, CA 91354
(34.45700632100005, -118.55959478999995)",Leah Ferrassoli,661-775-0823,5,2015
Incendio,El Monte Library,08/15/2015,2:00 PM,3:00 PM,El Monte Library,"3224 Tyler Avenue
El Monte, CA 91731
(34.06717101100003, -118.03594679799994)",Gina Quesenberry,626-444-9506,5,2015
Floyd and the Flyboys,George Lane Park,08/15/2015,7:00 PM,9:00 PM,George Lane Park,"5520 W. Avenue L-8
Quartz Hill, CA 93536
(34.65286318300008, -118.22857950999997)",Jeff Dorst,661-940-7701,1,2015
Iliana Rose Band,City of La Mirada,07/30/2015,6:30 PM,8:30 PM,La Mirada Creek Park,"12021 Santa Gertrudes Avenue
La Mirada, CA 90638
(33.92195974700007, -117.99441709799999)",Lisa Montoya,562-902-3125,1,2015
Mariachi Divas,City of La Puente,07/29/2015,6:30 PM,8:30 PM,La Puente Park,"501 N. Glendora Ave.
La Puente, CA 91744
(34.02620765700004, -117.95117461999996)",Angel Morales,626-855-1558,1,2015
Dawn Norfleet,Los Angeles County Museum of Art ,10/23/2015,6:00 PM,8:00 PM,Los Angeles County Museum of Art,"5905 Wilshire Blvd.
Los Angeles, CA 90036
(34.062717442000064, -118.35883690399999)",Claire Kim,323-857-6115,5,2015
Susie Hansen Latin Band,City of Azusa ,08/22/2015,7:00 PM,9:00 PM,Memorial Park,"320 N. Orange Place
Azusa, CA 91702
(34.126831555000024, -117.91356640299995)",Joe Jacobs,626-812-5220,4,2015
"INCA, the Peruvian Ensemble",Pasadena Senior Center,08/11/2015,6:00 PM,7:00 PM,Memorial Park Bandshell,"85 E. Holly Street
Pasadena, CA 91103
(34.14767875300004, -118.14865310399995)",Cynthia Rosedale,626-685-6724,5,2015
Mariachi Divas,City of Paramount,07/10/2015,6:00 PM,8:00 PM,Paramount Park,"14400 Paramount Blvd.
Paramount, CA 90723
(33.902761601000066, -118.16007470199997)",Steven Coumparoules,562-220-2126,4,2015
California Feet Warmers,MUSE/IQUE,10/09/2015,6:00 PM,8:00 PM,Plaza of the Pasadena Civic Auditorium,"300 E. Green Street
Pasadena, CA 91101
(34.14448336000004, -118.14421980699996)",Eugene Hutchins,626-844-7703,2,2015
Gloria Arjona,Sorensen Library,10/06/2015,3:00 PM,4:00 PM,Sorensen Library,"6934 Broadway Ave
Whittier, CA 90606
(33.97976614300006, -118.06258845399998)",Muoy Li,562-695-3979,1,2015
Cunao,City of South Gate,07/03/2015,6:00 PM,8:00 PM,South Gate Park,"4900 Southern Ave.
South Gate, CA 90280
(33.94752351000005, -118.18328659699995)",Armando Ayala,323-357-9636,1,2015
Lisa Haley & the Zydekats,"LA Choreographers & Dancers, Inc.",09/20/2015,4:30 PM,6:30 PM,"SP ♥ TriArt Festival, Ports O'Call Village","1199 Nagoya Way
San Pedro, CA 90731
(33.73073234700007, -118.27597323299995)",Louise Reichlin,213-385-1171,1,2015
Susie Hansen Latin Band,Lummis Day Community Foundation,06/07/2015,4:30 PM,5:40 PM,Sycamore Grove Park,"4700 N. Figueroa
Los Angeles, CA 90065
(34.08685124100003, -118.21849582599998)",Jain Sekular,323-344-9955,1,2015
Gyasi Ross,Ted Watkins Memorial Park,07/23/2015,7:00 PM,9:00 PM,Ted Watkins Memorial Park,"1335 E. 103rd Street
Los Angeles, CA 90002
(33.94330763000005, -118.25042907799997)",Tenesha Ware,323-357-3032,5,2015
Finger Dancers,Temple City Library,08/08/2015,11:00 AM,12:00 PM,Temple City Library,"5939 Golden West Ave.
Temple City, CA 91780
(34.10835356300004, -118.05681116499994)",Grace Yang,626-285-2136,2,2015
Orquesta Charangoa,City of Glendale,07/08/2015,6:30 PM,8:30 PM,Verdugo Park,"1621 Canada Blvd.
Glendale, CA 91208
(34.17010305700006, -118.22917973599999)",Sevag Garabetian,818-548-3773,5,2015
Sista Jean + CB,City of Inglewood ,08/22/2015,1:00 PM,4:00 PM,Inglewood City Hall South Lawn,"1 W. Manchester Blvd.
Inglewood, CA 90301
(33.96178726800008, -118.35516772999995)",Helen Lessick,310-412-5609,1,2015
Nutty,City of West Hollywood,08/23/2015,4:00 PM,5:15 PM,Kings Road Park,"1100 N. Kings Road
West Hollywood, CA 90069
(34.09077040000005, -118.37271521599996)",Michael Che,323-848-6377,2,2015
Cunao,Lawndale Library,08/08/2015,12:00 PM,1:00 PM,Lawndale Library,"14615 Burin Avenue
Lawndale, CA 90260
(33.89882303100006, -118.35387858799999)",Don Gould,310-676-0178,4,2015
Andres Flores y Los Hijos de Jose,Lennox Park ,08/08/2015,1:00 PM,4:00 PM,Lennox Park,"10828 S. Condon Ave.
Lennox, CA 90304
(33.93792071200005, -118.35911690799998)",Michael Hamilton,310-419-6712,5,2015
