Sup Dist,Cost Code,Library Name,City,Zip Code,Month,Year,Month-Year,Circulation
1,604,Anthony Quinn,Los Angeles,90063,January,2014,January-2014,6246
1,604,Anthony Quinn,Los Angeles,90063,February,2014,February-2014,5442
1,604,Anthony Quinn,Los Angeles,90063,March,2014,March-2014,6168
1,604,Anthony Quinn,Los Angeles,90063,April,2014,April-2014,6610
1,604,Anthony Quinn,Los Angeles,90063,May,2014,May-2014,5779
1,604,Anthony Quinn,Los Angeles,90063,June,2014,June-2014,6257
1,604,Anthony Quinn,Los Angeles,90063,July,2014,July-2014,7394
1,604,Anthony Quinn,Los Angeles,90063,August,2014,August-2014,6310
1,604,Anthony Quinn,Los Angeles,90063,September,2014,September-2014,6240
1,604,Anthony Quinn,Los Angeles,90063,October,2014,October-2014,6679
1,604,Anthony Quinn,Los Angeles,90063,November,2014,November-2014,6092
1,604,Anthony Quinn,Los Angeles,90063,December,2014,December-2014,5428
1,604,Anthony Quinn,Los Angeles,90063,January,2015,January-2015,5862
1,604,Anthony Quinn,Los Angeles,90063,February,2015,February-2015,5546
1,604,Anthony Quinn,Los Angeles,90063,March,2015,March-2015,6513
1,604,Anthony Quinn,Los Angeles,90063,April,2015,April-2015,6003
1,604,Anthony Quinn,Los Angeles,90063,May,2015,May-2015,5612
1,604,Anthony Quinn,Los Angeles,90063,June,2015,June-2015,6451
1,803,Baldwin Park,Baldwin Park,91706,January,2014,January-2014,1173
1,803,Baldwin Park,Baldwin Park,91706,February,2014,February-2014,1138
1,803,Baldwin Park,Baldwin Park,91706,March,2014,March-2014,1103
1,803,Baldwin Park,Baldwin Park,91706,April,2014,April-2014,1254
1,803,Baldwin Park,Baldwin Park,91706,May,2014,May-2014,1075
1,803,Baldwin Park,Baldwin Park,91706,June,2014,June-2014,1422
1,803,Baldwin Park,Baldwin Park,91706,July,2014,July-2014,1618
1,803,Baldwin Park,Baldwin Park,91706,August,2014,August-2014,542
1,803,Baldwin Park,Baldwin Park,91706,September,2014,September-2014,12202
1,803,Baldwin Park,Baldwin Park,91706,October,2014,October-2014,14733
1,803,Baldwin Park,Baldwin Park,91706,November,2014,November-2014,13722
1,803,Baldwin Park,Baldwin Park,91706,December,2014,December-2014,10784
1,803,Baldwin Park,Baldwin Park,91706,January,2015,January-2015,14242
1,803,Baldwin Park,Baldwin Park,91706,February,2015,February-2015,13611
1,803,Baldwin Park,Baldwin Park,91706,March,2015,March-2015,14881
1,803,Baldwin Park,Baldwin Park,91706,April,2015,April-2015,14606
1,803,Baldwin Park,Baldwin Park,91706,May,2015,May-2015,12141
1,803,Baldwin Park,Baldwin Park,91706,June,2015,June-2015,14341
1,630,Bell,Bell,90201,January,2014,January-2014,6416
1,630,Bell,Bell,90201,February,2014,February-2014,5727
1,630,Bell,Bell,90201,March,2014,March-2014,6553
1,630,Bell,Bell,90201,April,2014,April-2014,6471
1,630,Bell,Bell,90201,May,2014,May-2014,5392
1,630,Bell,Bell,90201,June,2014,June-2014,5015
1,630,Bell,Bell,90201,July,2014,July-2014,5901
1,630,Bell,Bell,90201,August,2014,August-2014,5316
1,630,Bell,Bell,90201,September,2014,September-2014,5740
1,630,Bell,Bell,90201,October,2014,October-2014,5287
1,630,Bell,Bell,90201,November,2014,November-2014,4443
1,630,Bell,Bell,90201,December,2014,December-2014,4203
1,630,Bell,Bell,90201,January,2015,January-2015,6025
1,630,Bell,Bell,90201,February,2015,February-2015,5030
1,630,Bell,Bell,90201,March,2015,March-2015,5501
1,630,Bell,Bell,90201,April,2015,April-2015,5460
1,630,Bell,Bell,90201,May,2015,May-2015,4669
1,630,Bell,Bell,90201,June,2015,June-2015,5684
1,631,Bell Gardens,Bell Gardens,90201,January,2014,January-2014,5773
1,631,Bell Gardens,Bell Gardens,90201,February,2014,February-2014,4419
1,631,Bell Gardens,Bell Gardens,90201,March,2014,March-2014,5287
1,631,Bell Gardens,Bell Gardens,90201,April,2014,April-2014,5712
1,631,Bell Gardens,Bell Gardens,90201,May,2014,May-2014,4593
1,631,Bell Gardens,Bell Gardens,90201,June,2014,June-2014,4362
1,631,Bell Gardens,Bell Gardens,90201,July,2014,July-2014,5990
1,631,Bell Gardens,Bell Gardens,90201,August,2014,August-2014,4569
1,631,Bell Gardens,Bell Gardens,90201,September,2014,September-2014,5372
1,631,Bell Gardens,Bell Gardens,90201,October,2014,October-2014,5649
1,631,Bell Gardens,Bell Gardens,90201,November,2014,November-2014,4552
1,631,Bell Gardens,Bell Gardens,90201,December,2014,December-2014,4404
1,631,Bell Gardens,Bell Gardens,90201,January,2015,January-2015,6039
1,631,Bell Gardens,Bell Gardens,90201,February,2015,February-2015,4869
1,631,Bell Gardens,Bell Gardens,90201,March,2015,March-2015,5962
1,631,Bell Gardens,Bell Gardens,90201,April,2015,April-2015,5920
1,631,Bell Gardens,Bell Gardens,90201,May,2015,May-2015,5266
1,631,Bell Gardens,Bell Gardens,90201,June,2015,June-2015,4909
