Title,Artist Name,Location Name,County Department,Year Created,Location Street,Artwork Type,Technique,Media & Support,Supervisor District,Dimensions,Accession Number
ooo,Merge Conceptual Design,Allen J. Martin Park,Parks and Recreation,2008,"14830 East Giordano Street
La Puente 91744
",Mural,Stenciling,"Shewin Williams paint, styrene stencils",1,Varied,2008.1.a-.c
Convergence,Matt Dehaemers,Fire Station 156,Fire,2011,"24525 Copperhill Drive
Santa Clarita 91350
",Sculpture,Carving,"Lithocrete, carved boulder",5,,2011.2
Maps and Maping: The Firefighter's Life Line,Eric Powell,Fire Station 156,Fire,2011,"24525 Copperhill Drive
Santa Clarita 91350
",Sculpture,Welding,Steel,5,,2011.5
Untitled,Mario Cespedes,Graham Library,Public Library,2001,"1900 East Firestone Avenue
Los Angeles 90001
",Mural,Mural painting,Acrylic,2,,2010.11
George Washington,Jean Antoine Houdon,Grand Park,Internal Services,1933,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Sculpture,Casting,Bronze on granite,1,9 ft. 10 in.x 3 ft. 10 in.x 3 ft. 3 in.* (3 x 1.2 x 1 m),2009.2
Vietnam Memorial,Frank Ackerman,Grand Park,Internal Services,1973,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Sculpture,Casting,Bronze on granite,1,4 ft. 4 in.x 1 ft. 11 in.x 11 in.* (1.3 x 0.6 x 0.3 m),2009.25
Christopher Columbus,Francesco Perotti,Grand Park,Internal Services,1973,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Sculpture,Casting,Bronze on granite,1,9 ft. 8 in.x 3 ft. 9 in.x 3 ft. 4 in.* (2.9 x 1.1 x 1 m),2009.26
Remembrance of Genocide in the Ukraine,Unknown,Grand Park,Internal Services,20th century,"Grand to Hill between First &amp; Temple
Los Angeles 90012
",Monument,Casting,bronze on stone,1,,2009.66
Untitled (Sunburst),David Gray,Health Services Administration Building,Health Services,1971,"313 North Figueroa Streeet
Los Angeles 90012
",Sculpture,Casting,Cast bronze,1,8 ft.x 8 ft.* (2.4 x 2.4 m),2015.2
Elevations (1),Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2011,"11833 South Wilmington Avenue
Los Angeles 90059
",Sculpture,Casting,"Aluminum, Venetian plaster",2,22 ft.x 7 ft.x 12 ft.* (6.7 x 2.1 x 3.7 m),2011.6.1.a-.b
Poppies - X - 3 - A,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.1
Poppies - X - 3 - B,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.2
Poppies - X - 3 - C,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.3
Radiolarien - Burst,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.4
Radiolarien - Mace,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.5
Radiolarien - Star,Cliff Garten,"Martin Luther King, Jr. Center for Public Health",Public Health,2008,"11833 South Wilmington Avenue
Los Angeles 90059
",Print,Printing,Ultra chrome ink on cotton paper,2,1 ft. 3 in.x 1 ft. 2 in.* (0.4 x 0.3 m),2011.6.2.6
