CDP_HEADER_ID,header#organization_id,header#fiscal_year_end_date,SECTION_1_LINE_3B,SECTION_1_LINE_3C,SECTION_1_LINE_3D,SECTION_1_LINE_3E,SECTION_1_LINE_3F,SECTION_1_LINE_9,SECTION_1_LINE_10,SECTION_1_LINE_11,SECTION_1_LINE_12,SECTION_1_LINE_17,SECTION_1_LINE_17B,SECTION_1_LINE_17C,SECTION_1_LINE_17D,SECTION_1_LINE_25,SECTION_1_LINE_26,SECTION_1_LINE_27,SECTION_3_LINE_1_UR,SECTION_3_LINE_1_TR,SECTION_3_LINE_1_PR,SECTION_3_LINE_1_TTL,SECTION_3_LINE_2_UR,SECTION_3_LINE_2_TR,SECTION_3_LINE_2_PR,SECTION_3_LINE_2_TTL,SECTION_3_LINE_3_UR,SECTION_3_LINE_3_TR,SECTION_3_LINE_3_PR,SECTION_3_LINE_3_TTL,SECTION_3_LINE_4_UR,SECTION_3_LINE_4_TR,SECTION_3_LINE_4_PR,SECTION_3_LINE_4_TTL,SECTION_3_LINE_5_UR,SECTION_3_LINE_5_TR,SECTION_3_LINE_5_PR,SECTION_3_LINE_5_TTL,SECTION_3_LINE_6_UR,SECTION_3_LINE_6_TR,SECTION_3_LINE_6_PR,SECTION_3_LINE_6_TTL,SECTION_3_LINE_6A_DESC,SECTION_3_LINE_7_UR,SECTION_3_LINE_7_TR,SECTION_3_LINE_7_PR,SECTION_3_LINE_7_TTL,SECTION_3_LINE_7A_UR,SECTION_3_LINE_7A_TR,SECTION_3_LINE_7A_PR,SECTION_3_LINE_7A_TTL,SECTION_3_LINE_8_UR,SECTION_3_LINE_8_TR,SECTION_3_LINE_8_PR,SECTION_3_LINE_8_TTL,SECTION_3_LINE_8A_UR,SECTION_3_LINE_8A_TR,SECTION_3_LINE_8A_PR,SECTION_3_LINE_8A_TTL,SECTION_3_LINE_9_UR,SECTION_3_LINE_9_TR,SECTION_3_LINE_9_PR,SECTION_3_LINE_9_TTL,SECTION_3_LINE_10_UR,SECTION_3_LINE_10_TR,SECTION_3_LINE_10_PR,SECTION_3_LINE_10_TTL,SECTION_3_LINE_10A_UR,SECTION_3_LINE_10A_TR,SECTION_3_LINE_10A_PR,SECTION_3_LINE_10A_TTL,SECTION_3_LINE_11_UR,SECTION_3_LINE_11_TR,SECTION_3_LINE_11_PR,SECTION_3_LINE_11_TTL,SECTION_3_LINE_12_UR,SECTION_3_LINE_12_TR,SECTION_3_LINE_12_PR,SECTION_3_LINE_12_TTL,SECTION_3_LINE_13_UR,SECTION_3_LINE_13_TR,SECTION_3_LINE_13_PR,SECTION_3_LINE_13_TTL,SECTION_3_LINE_14_UR,SECTION_3_LINE_14_TR,SECTION_3_LINE_14_PR,SECTION_3_LINE_14_TTL,SECTION_3_LINE_15_UR,SECTION_3_LINE_15_TR,SECTION_3_LINE_15_PR,SECTION_3_LINE_15_TTL,SECTION_3_LINE_16_UR,SECTION_3_LINE_16_TR,SECTION_3_LINE_16_PR,SECTION_3_LINE_16_TTL,SECTION_3_LINE_17_UR,SECTION_3_LINE_17_TR,SECTION_3_LINE_17_PR,SECTION_3_LINE_17_TTL,SECTION_3_LINE_18_UR,SECTION_3_LINE_18_TR,SECTION_3_LINE_18_PR,SECTION_3_LINE_18_TTL,SECTION_3_LINE_19_UR,SECTION_3_LINE_19_TR,SECTION_3_LINE_19_PR,SECTION_3_LINE_19_TTL,SECTION_3_LINE_19A_DESC,SECTION_3_LINE_20_UR,SECTION_3_LINE_20_TR,SECTION_3_LINE_20_PR,SECTION_3_LINE_20_TTL,SECTION_3_LINE_21_UR,SECTION_3_LINE_21_TR,SECTION_3_LINE_21_PR,SECTION_3_LINE_21_TTL,SECTION_3_LINE_22_UR,SECTION_3_LINE_22_TR,SECTION_3_LINE_22_PR,SECTION_3_LINE_22_TTL,SECTION_3_LINE_23_UR,SECTION_3_LINE_23_TR,SECTION_3_LINE_23_PR,SECTION_3_LINE_23_TTL,SECTION_3_LINE_24_UR,SECTION_3_LINE_24_TR,SECTION_3_LINE_24_PR,SECTION_3_LINE_24_TTL,SECTION_3_LINE_25_UR,SECTION_3_LINE_25_TR,SECTION_3_LINE_25_PR,SECTION_3_LINE_25_TTL,SECTION_3_LINE_26_UR,SECTION_3_LINE_26_TR,SECTION_3_LINE_26_PR,SECTION_3_LINE_26_TTL,SECTION_3_LINE_27_UR,SECTION_3_LINE_27_TR,SECTION_3_LINE_27_PR,SECTION_3_LINE_27_TTL,SECTION_3_LINE_28_UR,SECTION_3_LINE_28_TR,SECTION_3_LINE_28_PR,SECTION_3_LINE_28_TTL,SECTION_3_LINE_28A_UR,SECTION_3_LINE_28A_TR,SECTION_3_LINE_28A_PR,SECTION_3_LINE_28A_TTL,SECTION_3_LINE_29_UR,SECTION_3_LINE_29_TR,SECTION_3_LINE_29_PR,SECTION_3_LINE_29_TTL,SECTION_3_LINE_30_UR,SECTION_3_LINE_30_TR,SECTION_3_LINE_30_PR,SECTION_3_LINE_30_TTL,SECTION_3_LINE_30A_DESC,SECTION_3_LINE_30B_UR,SECTION_3_LINE_30B_TR,SECTION_3_LINE_30B_PR,SECTION_3_LINE_30B_TTL,SECTION_3_LINE_30C_UR,SECTION_3_LINE_30C_TR,SECTION_3_LINE_30C_PR,SECTION_3_LINE_30C_TTL,SECTION_3_LINE_31_UR,SECTION_3_LINE_31_TR,SECTION_3_LINE_31_PR,SECTION_3_LINE_31_TTL,SECTION_3_LINE_31A_DESC,SECTION_3_LINE_32_UR,SECTION_3_LINE_32_TR,SECTION_3_LINE_32_PR,SECTION_3_LINE_32_TTL,SECTION_3_LINE_33_UR,SECTION_3_LINE_33_TR,SECTION_3_LINE_33_PR,SECTION_3_LINE_33_TTL,SECTION_3_LINE_34_UR,SECTION_3_LINE_34_TR,SECTION_3_LINE_34_PR,SECTION_3_LINE_34_TTL,SECTION_3_LINE_35_UR,SECTION_3_LINE_35_TR,SECTION_3_LINE_35_PR,SECTION_3_LINE_35_TTL,SECTION_3_LINE_36_UR,SECTION_3_LINE_36_TR,SECTION_3_LINE_36_PR,SECTION_3_LINE_36_TTL,SECTION_3_LINE_37,SECTION_3_LINE_37_TYPE,SECTION_3_LINE_38,SECTION_3_LINE_38_TYPE,SECTION_3_LINE_39,SECTION_3_LINE_39_TYPE,COMPLETED_FY,NTEE_CODE,NTEE_PRIMARY,NTEE_NUMERIC,STATE_NUMERIC,STATE_LABEL,COUNTY,COUNTY_CODE,CBSA_CODE,BUDGETSIZEWEB,DISC_1_LOCK
57766,1705,12/31/2013 0:00,"Urban,Regional",General,General,General,"IndArtists,IndLowIncome",San Francisco,CA,94110-1472,San Francisco,A31 - Film & Video,Media Arts,,None of the Above,7,1976,1976,0,0,0,0,0,0,0,0,0,0,0,0,867486,0,0,867486,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29183,0,0,29183,0,0,0,0,0,0,0,0,388124,0,0,388124,435,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41774,0,0,41774,,1327002,0,0,1327002,5335,0,0,5335,21187,0,0,21187,0,75500,0,75500,5858,559075,0,564933,1433828,0,0,1433828,0,0,0,0,0,0,0,0,475509,0,0,475509,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,351425,0,0,351425,,709333,-709333,0,0,3002475,-74758,0,2927717,4329477,-74758,0,4254719,0,0,0,0,4329477,-74758,0,4254719,4329477,A,0,NA,4329477,,2013,A31,A,13,6,CALIFORNIA,SAN FRANCISCO,75,41860,4.00,1.00
67431,1734,6/30/2014 0:00,"Urban,Suburban,Online,Local",General,General,General,General,Los Angeles,CA,90036-4348,Los Angeles,A31 - Film & Video,Media Arts,Film,Fair/Festival,9,2002,2002,0,0,0,0,33295,0,0,33295,5691,0,0,5691,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38986,0,0,38986,11000,0,0,11000,16100,0,0,16100,73420,0,0,73420,10000,0,0,10000,7040,0,0,7040,5350,0,0,5350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,73000,0,0,73000,,0,0,0,0,195910,0,0,195910,234896,0,0,234896,0,0,0,0,234896,0,0,234896,234896,E,0,NA,234896,,2014,A31,A,13,6,CALIFORNIA,LOS ANGELES,37,31100,3.00,1.00
69852,1745,12/31/2014 0:00,"Urban,Suburban,Regional,Local",General,General,General,General,San Francisco,CA,94129-1025,San Francisco,A31 - Film & Video,Media Arts,Film,Arts Service Organization,26,1957,1958,49290,0,0,49290,654858,0,0,654858,36122,0,0,36122,0,0,0,0,0,0,0,0,0,0,0,0,,15205,0,0,15205,0,0,0,0,0,0,0,0,0,0,0,0,378748,0,0,378748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18800,0,0,18800,198381,0,0,198381,0,0,0,0,0,0,0,0,430,0,0,430,279973,0,0,279973,,1631807,0,0,1631807,601500,13922,0,615422,554947,0,0,554947,0,0,0,0,33272,1173695,0,1206967,76350,61500,0,137850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392710,0,0,392710,79074,0,0,79074,,0,0,0,0,0,0,0,0,953799,0,0,953799,,1651368,-1651368,0,0,4343020,-402251,0,3940769,5974827,-402251,0,5572576,0,0,0,0,5974827,-402251,0,5572576,5974827,A,0,NA,5974827,,2014,A31,A,13,6,CALIFORNIA,SAN FRANCISCO,75,41860,5.00,1.00
60137,1816,12/31/2013 0:00,"National,Online",General,General,General,General,Los Angeles,CA,90018-3163,Los Angeles,A33 - Printing & Publishing,Literature,,Independent Press,10,2005,2005,0,0,0,0,950,0,0,950,0,0,0,0,400,0,0,400,0,0,0,0,0,0,0,0,,0,0,0,0,23755,0,0,23755,0,0,0,0,0,0,0,0,5896,0,0,5896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9660,0,0,9660,,40661,0,0,40661,3783,0,0,3783,3591,0,0,3591,0,0,0,0,34320,0,0,34320,2000,0,0,2000,7400,0,0,7400,0,0,0,0,4000,0,0,4000,0,0,0,0,298,0,0,298,0,0,0,0,,0,0,0,0,0,0,0,0,13000,0,0,13000,,0,0,0,0,68392,0,0,68392,109053,0,0,109053,0,0,0,0,109053,0,0,109053,109053,A,0,NA,109053,,2013,A33,A,15,6,CALIFORNIA,LOS ANGELES,37,31100,2.00,1.00
66900,2175,12/31/2014 0:00,"International,Urban,National,Suburban,Regional,Rural,Statewide,Online,Local",General,General,General,IndArtists,Los Angeles,CA,90028-6210,Los Angeles,A31 - Film & Video,Media Arts,,None of the Above,7,1989,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,33700,0,33700,,284,33700,0,33984,300,0,0,300,0,0,0,0,200,0,0,200,0,79000,0,79000,0,7130,0,7130,0,6600,0,6600,0,7450,0,7450,0,25000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,158880,-158880,0,0,159380,-33700,0,125680,159664,0,0,159664,0,0,0,0,159664,0,0,159664,159664,A,0,NV,159664,,2014,A31,A,13,6,CALIFORNIA,LOS ANGELES,37,31100,2.00,1.00
70570,2214,12/31/2014 0:00,"National,Regional,Statewide,Local,Urban,Online","Arab,Asian,Hawaiian",General,"YoungAdults,Adults,OlderAdults","IndArtists,Immigrants,LGBT",San Francisco,CA,94108-1801,San Francisco,A33 - Printing & Publishing,Interdisciplinary,,Media - Periodical,0,2002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8846,0,0,8846,0,0,0,0,0,0,0,0,3145,0,0,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,4500,5000,0,0,5000,,20000,0,0,20000,0,0,0,0,250,0,0,250,,0,0,0,0,41741,0,0,41741,41741,0,0,41741,0,0,0,0,41741,0,0,41741,41741,A,0,NA,41741,,2014,A33,A,15,6,CALIFORNIA,SAN FRANCISCO,75,41860,1.00,1.00
70241,2434,12/31/2014 0:00,"Urban,Local",General,General,General,"IndArtists,IndFaith,Other",San Francisco,CA,94103-2636,San Francisco,A31 - Film & Video,Media Arts,Film,Fair/Festival,21,1980,1983,0,0,0,0,320814,0,0,320814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1314,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221,0,0,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6785,0,0,6785,0,0,0,0,,332134,0,0,332134,106186,0,0,106186,217137,0,0,217137,71930,0,0,71930,395091,153000,0,548091,58230,0,0,58230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,252988,0,0,252988,,123333,-123333,0,0,1224895,29667,0,1254562,1557029,29667,0,1586696,0,0,0,0,1557029,29667,0,1586696,1557029,A,0,NA,1557029,,2014,A31,A,13,6,CALIFORNIA,SAN FRANCISCO,75,41860,4.00,1.00
50481,2441,6/30/2013 0:00,"Urban,National,Suburban,Regional",General,General,"K12,YoungAdults,Adults,OlderAdults","IndLowIncome,LGBT",Pasadena,CA,91104-2857,Los Angeles,A33 - Printing & Publishing,Literature,Poetry,Independent Press,8,1994,1999,0,0,0,0,1846,0,0,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1160,0,0,1160,197316,0,0,197316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,738,22447,0,0,22447,,224716,0,0,224716,27400,500,0,27900,68666,130298,0,198964,1312,12000,0,13312,2500,30200,0,32700,4910,4125,0,9035,4325,0,0,4325,0,0,0,0,0,8750,0,8750,0,0,0,0,50420,0,0,50420,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,159533,185873,0,345406,384249,185873,0,570122,0,0,0,0,384249,185873,0,570122,384249,A,0,NA,384249,,2013,A33,A,15,6,CALIFORNIA,LOS ANGELES,37,31100,3.00,1.00
70526,2502,3/31/2015 0:00,"Urban,Suburban,Regional",General,General,"PreK,K12,Adults,OlderAdults","IndDisabilities,IndLowIncome,Immigrants",Los Angeles,CA,91040-2155,Los Angeles,A30 - Media & Communications,Theatre,Theatre for Young Audiences,Performing Group,6,1995,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33545,0,0,33545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33545,0,0,33545,4535,0,0,4535,2570,0,0,2570,3000,0,0,3000,10000,0,0,10000,2048,0,0,2048,19950,0,0,19950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5000,0,0,5000,,0,0,0,0,47103,0,0,47103,80648,0,0,80648,0,0,0,0,80648,0,0,80648,80648,A,0,NA,80648,,2015,A30,A,12,6,CALIFORNIA,LOS ANGELES,37,31100,2.00,1.00
62645,2509,6/30/2014 0:00,"Urban,Suburban,Regional,Online",General,General,General,General,Sacramento,CA,95826-2625,Sacramento,A34 - Radio,Media Arts,Audio,Media - Radio,23,1979,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129525,0,0,129525,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,1136,0,0,0,0,7696,0,0,7696,0,0,0,0,,138357,0,0,138357,35556,0,0,35556,4531873,0,0,4531873,3260560,0,0,3260560,4143,496976,0,501119,8275,0,0,8275,25995,0,0,25995,37034,0,0,37034,0,0,0,0,0,0,0,0,637153,0,0,637153,0,0,0,0,,0,0,0,0,0,0,0,0,2190234,0,0,2190234,,209101,-209101,0,0,10939924,287875,0,11227799,11078281,287875,0,11366156,0,0,0,0,11078281,287875,0,11366156,10744925,E,333356,E,11078281,,2014,A34,A,16,6,CALIFORNIA,SACRAMENTO,67,40900,6.00,1.00
