#,Applicant Name,Discipline ,Allocation,Mailing Address,MA Part 2,Mail City,Mail State,Mail Zip,Fiscal Year
1,24th Street Theatre Company,Theatre,"5,200 ",1117 W. 24th Street,,Los Angeles,CA,90007,2010-11
2,826LA,Literature,"11,200 ",1714 W. Sunset Boulevard,,Los Angeles,CA,90026,2010-11
3,A La Brava Producciones Revolucionarias,Media,"2,500 ",673 S. Fickett Street,,Los Angeles,CA,90023,2010-11
4,A Window Between Worlds,Visual/Design,"14,200 ",710 4th Avenue #5,#5,Venice,CA,90291,2010-11
5,Abbot Kinney District Association,Festivals/Parades,"8,200 ",POB 1138,,Venice,CA,90294,2010-11
6,About Productions,Multi-disciplinary,"6,200 ",145 N. Raymond Avenue,,Pasadena,CA,91103-3921,2010-11
7,Academy for New Musical Theatre Inc.,Theatre,"4,700 ",5628 Vineland Avenue,,North Hollywood,CA,91601,2010-11
8,"Actors' Gang, Inc.",Theatre,"9,000 ",9070 Venice Boulevard,,Culver City,CA,90232-2305,2010-11
9,Afro-American Chamber Music Society,Music,"3,000 ","3500 W. Manchester Boulevard, Unit 83",,Inglewood,CA,90305,2010-11
10,Angels Gate Cultural Center Inc.,Visual/Design,"14,200 ",3601 S. Gaffey Street,,San Pedro,CA,90731,2010-11
11,Antaeus Company,Theatre,"6,700 ",5114 Lankershim Boulevard,,North Hollywood,CA,91601,2010-11
12,Ark Theatre Company,Theatre,"4,000 ",P.O. Box 5161,,Beverly Hills,CA,90209,2010-11
13,"Armand Hammer Museum of Art and Cultural Center, Inc.",Visual/Design,"21,000 ",10899 Wilshire Boulevard,,Los Angeles,CA,90024,2010-11
14,Art-In-The-Park Community Cultural Programs,Music,"4,200 ",795 N. Avenue 50,,Los Angeles,CA,90042,2010-11
15,Artist Consortium,Dance,"3,700 ",P.O. Box 32087,,Los Angeles,CA,90032,2010-11
16,"Arts and Services for Disabled, Incorporated",Visual/Design,"9,200 ","3962 N. Studebaker Road, Suite 206",Suite 206,Long Beach,CA,90808,2010-11
17,Arts for LA,Business Management & Arts Advocacy,"10,000 ",P.O. Box 71574,,Los Angeles,CA,90071,2010-11
18,ARTSCORPSLA,Multi-disciplinary,"3,000 ",1246 W. Court Street,,Los Angeles,CA,90026,2010-11
19,ARTSCORPSLA,Multi-disciplinary,"5,200 ",1246 W. Court Street,,Los Angeles,CA,90026,2010-11
20,Association for the Advancement of Filipino Arts & Culture,Multi-disciplinary,"6,200 ","760 S. Westmoreland Avenue, Suite 266",Suite 266,Los Angeles,CA,90005-1409,2010-11
21,Automata Arts,Multi-disciplinary,"4,200 ",1954 N. Hillhurst Avenue,,Los Angeles,CA,90027,2010-11
22,Autry National Center of the American West,Theatre,"30,000 ",4700 Western Heritage Way,,Los Angeles,CA,90027-1462,2010-11
23,Benita Bikes DanceArt Inc.,Dance,"2,700 ",10211 Sunland Boulevard,,Los Angeles,CA,91040,2010-11
24,Bethune Theatredanse,Multi-disciplinary,"12,200 ",3342 Barham Boulevard,,Los Angeles,CA,90068,2010-11
25,Beyond Baroque Foundation,Literature,"7,200 ",681 Venice Boulevard,,Venice,CA,90291,2010-11
26,Bilingual Foundation of the Arts,Theatre,"16,000 ",421 N. Avenue 19,,Los Angeles,CA,90031,2010-11
27,Bluepalm: Art Culture Education (ACE),Dance,"7,000 ",,,Los Angeles,CA,,2010-11
28,Body Weather Laboratory,Dance,"7,700 ",636 Millwood Avenue,,Venice,CA,90291,2010-11
29,California E.A.R. Unit Foundation,Music,"5,200 ",29654 Driver Avenue,,Castaic,CA,91384,2010-11
30,California Institute of the Arts,Multi-disciplinary,"50,000 ",24700 McBean Parkway,,Valencia,CA,91355,2010-11
31,California Institute of the Arts,Multi-disciplinary,"50,000 ",24700 McBean Parkway,,Valencia,CA,91355,2010-11
32,California Traditional Music Society,Traditional/Folk,"6,000 ",4924 Balboa Boulevard #637,#637,Encino,CA,91316-4125,2010-11
33,California Traditional Music Society,Traditional/Folk,"10,200 ",4924 Balboa Boulevard #637,#637,Encino,CA,91316-4125,2010-11
34,Celebration Theatre,Theatre,"5,200 ",7051-B Santa Monica Boulevard,,Los Angeles,CA,90038,2010-11
35,Center for the Study of Political Graphics,Visual/Design,"7,000 ",8124 W. 3rd Street,,Los Angeles,CA,90048,2010-11
36,Center Theatre Group of Los Angeles,Theatre,"40,000 ",601 W. Temple Street,,Los Angeles,CA,90012,2010-11
37,Chamber Music Palisades Inc,Music,"3,500 ",1043 Villa Grove Drive,,Pacific Palisades,CA,90272-3947,2010-11
38,Circle X Theatre Co.,Theatre,"4,200 ",814 N. Fuller Avenue,,Los Angeles,CA,90046,2010-11
39,Collage Dance Theatre,Dance,"4,700 ",2934 1/2 Beverly Glen Circle #25,#25,Los Angeles,CA,90077,2010-11
40,Community Partners (fbo (Out)Laws & Justice),Theatre,"6,200 ","1000 N. Alameda Street, Suite 240",Suite 240,Los Angeles,CA,90012,2010-11
41,Community Partners (fbo LA Commons),Multi-disciplinary,"5,200 ",4343 Leimert Park Boulevard,,Los Angeles,CA,90008,2010-11
42,Community Partners (fbo LA Commons),Multi-disciplinary,"4,200 ",4343 Leimert Park Boulevard,,Los Angeles,CA,90008,2010-11
43,Community Partners (fbo WriteGirl),Literature,"11,200 ",411 S. Main Street #422B,#422B,Los Angeles,CA,90013,2010-11
44,"Company of Angels, Inc.",Theatre,"5,000 ",501 S. Spring Street,,Los Angeles,CA,90013,2010-11
45,"Contra-Tiempo, Inc.",Dance,"6,200 ",4591 Inglewood Boulevard #4,#4,Los Angeles,CA,90230-5853,2010-11
46,Cornerstone Theater Company Inc,Theatre,"30,000 ",708 Traction Avenue,,Los Angeles,CA,90013,2010-11
47,"Create Now, Inc.",Visual/Design,"7,200 ","2007 Wilshire Boulevard, Suite #818",Suite #919,Los Angeles,CA,90057-3588,2010-11
48,"Cultural Heritage Foundation, Inc. (dba Cultural Heritage Foundation of Southern California, Inc.)",Culture/History,"6,200 ",3800 Homer Street,,Los Angeles,CA,90031-1530,2010-11
49,Culture Shock Dance Troupe Inc,Dance,"8,200 ",4029 Pacific Avenue #7,#7,San Pedro,CA,90731,2010-11
50,Dance Camera West,Media,"10,200 ","3400 San Marino Street, Suite R",,Los Angeles,CA,90006,2010-11
51,Dance Camera West,Media,"6,200 ","3400 San Marino Street, Suite R",,Los Angeles,CA,90006,2010-11
52,Dancessence Inc,Dance,"4,200 ",911 9th Street #206,#206,Santa Monica,CA,90403,2010-11
53,"Deaf West Theatre Company, Inc.",Theatre,"13,000 ",5114 Lankeshim Boulevard,,North Hollywood,CA,91601,2010-11
54,Diavolo Dance Theatre,Dance,"12,000 ",616 Moulton Avenue,,Los Angeles,CA,90031,2010-11
55,Eagle Rock Cultural Association,Multi-disciplinary,"7,700 ",2225 Colorado Boulevard,,Los Angeles,CA,90041,2010-11
56,Eagle Rock Cultural Association,Multi-disciplinary,"4,500 ",2225 Colorado Boulevard,,Los Angeles,CA,90041,2010-11
57,"East-West Players, Inc.",Theatre,"26,000 ",120 N. Judge John Aiso Street,,Los Angeles,CA,90012-3859,2010-11
58,Echo Park Film Center,Media,"15,200 ",1200 N. Alvarado Street,,Los Angeles,CA,90026,2010-11
59,"EngAGE, Inc.",Multi-disciplinary,"17,200 ",240 E. Verdugo Avenue,,Burbank,CA,91502,2010-11
60,ETM-LA Inc.,Music,"11,200 ","2501 W. Burbank Boulevard, Suite 305",Suite 305,Burbank,CA,91505,2010-11
61,"Film Independent, Inc.",Media,"25,000 ",9911 W. Pico Boulevard,,Los Angeles,CA,90035,2010-11
62,"Filmforum, Inc.",Media,"4,000 ",143 N. Commonwealth Avenue #3,#3,Los Angeles,CA,90004,2010-11
63,Floricanto Dance Theatre,Dance,"7,700 ",2758 E. Orange Grove Boulevard,,Pasadena,CA,91007,2010-11
64,Ford Theatre Foundation,Multi-disciplinary,"14,200 ",2580 Cahuenga Boulevard East,,Hollywood,CA,90068,2010-11
65,Fountain Theatre,Theatre,"8,200 ",5060 Fountain Avenue,,Los Angeles,CA,90029,2010-11
66,Fourth of July Celebration at Hansen Dam,Festivals/Parades,"4,500 ",8743 Burnet Avenue,,North Hills,CA,91343,2010-11
67,Francisco Martinez Dancetheatre,Dance,"3,200 ",6723 Matilija Avenue,,Valley Glen,CA,91405,2010-11
68,Friends of McGroarty Cultural Arts Center,Multi-disciplinary,"11,200 ",7570 McGroarty Terrace,,Tujunga,CA,91042,2010-11
69,Friends of McGroarty Cultural Arts Center,Multi-disciplinary,"14,000 ",7570 McGroarty Terrace,,Tujunga,CA,91042,2010-11
70,Friends of the Chinese American Museum,Culture/History,"12,200 ",425 N. Los Angeles Street,,Los Angeles,CA,90012-2980,2010-11
71,Friends of the Chinese American Museum,Culture/History,"14,200 ",425 N. Los Angeles Street,,Los Angeles,CA,90012-2980,2010-11
72,Friends of the Family,Festivals/Parades,"7,200 ","15350 Sherman Way, Suite #140",Suite #140,Van Nuys,CA,91406,2010-11
73,Friends of the Junior Arts Center,Visual/Design,"7,200 ",4814 Hollywood Boulevard,,Los Angeles,CA,90027,2010-11
74,Friends The Foundation of the California African-American Museum,Multi-disciplinary,"8,200 ",600 State Drive,,Los Angeles,CA,90037,2010-11
75,FUSION Performing Dance Academy,Dance,"2,500 ",2845 West Boulevard,,Los Angeles,CA,90016,2010-11
76,Gabrielino/Tongva Springs Foundation,Traditional/Folk,"4,500 ",P.O. Box 642043,,Los Angeles,CA,90064-2043,2010-11
77,Gabriella Axelrad Education Foundation,Dance,"20,000 ",631 S. Commonwealth Avenue,,Los Angeles,CA,90005,2010-11
78,"Geffen Playhouse, Inc.",Theatre,"11,000 ",10886 Le Conte Avenue,,Los Angeles,CA,90024,2010-11
79,Ghost Road Company,Theatre,"3,500 ",P.O. Box 2323,,Culver City,CA,90230,2010-11
80,Granada Chamber of Commerce,Festivals/Parades,"5,000 ",17723 Chatsworth Street,,Granada Hills,CA,91344,2010-11
81,Grand Performances,Multi-disciplinary,"7,000 ",350 S. Grand Avenue,,Los Angeles,CA,90071,2010-11
82,Grand Performances,Multi-disciplinary,"45,000 ",350 S. Grand Avenue,,Los Angeles,CA,90071,2010-11
83,Grand Vision Foundation,Multi-disciplinary,"10,000 ",434 W. 6th Street,,San Pedro,CA,90731,2010-11
84,Grandeza Mexciana Folk Ballet Company,Dance,"4,200 ",12717 S. Budlong Avenue,,Los Angeles,CA,90247,2010-11
85,"Great Leap, Incorporated",Multi-disciplinary,"4,700 ","1145 Wilshire Boulevard, Suite 100-D",Suite 100-D,Los Angeles,CA,90017,2010-11
86,Greater Boyle Heights Chamber of Commerce,Festivals/Parades,"6,200 ",5271 E. Beverly Boulevard,,Los Angeles,CA,90022,2010-11
87,Greenway Arts Alliance Inc,Theatre,"7,200 ",544 N. Fairfax Avenue,,Los Angeles,CA,90036,2010-11
88,H E Art Project,Multi-disciplinary,"16,200 ",1140 N. Citrus Ave.,,Los Angeles,CA,90034,2010-11
89,Helios Dance Theater,Dance,"5,200 ",15411 Bestor Boulevard,,Pacific Palisades,CA,90272,2010-11
90,Heroes of Life,Festivals/Parades,"6,700 ","11243 Glenoaks Boulevard, Suite 7",Suite 7,Pacoima,CA,91331,2010-11
91,Hollywood Arts Council,Multi-disciplinary,"4,200 ","6671 Sunset Boulevard, Suite 1502",Suite 1502,Hollywood,CA,90028,2010-11
92,Hollywood Arts Council,Multi-disciplinary,"7,200 ","6671 Sunset Boulevard, Suite 1502",Suite 1502,Hollywood,CA,90028,2010-11
93,Hollywood Master Chorale,Music,"5,700 ",P.O. Box 461135,,West Hollywood,CA,90046,2010-11
94,HUC - Skirball Cultural Center,Music,"20,000 ",2701 N. Sepulveda Boulevard,,Los Angeles,CA,90049,2010-11
95,"Imagination Workshop, Inc.",Theatre,"5,200 ","c/o UCLA Semel Institute, 
760 Westwood Plaza, Suite C8-151",,Los Angeles,CA,90024,2010-11
96,"INCA, the Peruvian Music & Dance Ensemble",Music,"8,200 ",POB 39813,,Los Angeles,CA,90039,2010-11
97,Indecent Exposure,Theatre,"3,200 ",2152 Beachwood Terrace,,Los Angeles,CA,90063,2010-11
98,Indian Film Festival of Los Angeles,Media,"5,200 ","400 Hauser Boulevard, 5L",5L,Los Angeles,CA,90036,2010-11
99,Inner-City Arts,Multi-disciplinary,"20,000 ",720 Kohler Street,,Los Angeles,CA,90021,2010-11
100,Inside Out Community Arts Inc.,Theatre,"20,400 ",2210 Lincoln Boulevard,,Venice,CA,90291,2010-11
101,Interact Theatre Company,Theatre,"3,500 ",P.O. Box 349,,North Hollywood,CA,91603-0349,2010-11
102,International Documentary,Media,"9,000 ","1201 W. 5th Street, Suite M320",,Los Angeles,CA,90017,2010-11
103,International Eye Los Angeles,Festivals/Parades,"5,700 ","8703 La Tijera Boulevard, Suite 208",Suite 208,Los Angeles,CA,90045,2010-11
104,Israel Independence Day Festival,Festivals/Parades,"6,200 ",18155 Elkwood Street,,Reseda,CA,91335,2010-11
105,Japanese American Cultural and Community Center,Media,"14,000 ",244 S. San Pedro Street #505,#505,Los Angeles,CA,90012,2010-11
106,Japanese American National Museum,Multi-disciplinary,"23,000 ",369 E. First Street,,Los Angeles,CA,90012,2010-11
107,Justice by Uniting in Creative Energy,Multi-disciplinary,"5,000 ",P.O. Box 17837,,Los Angeles,CA,90017,2010-11
108,KCET Community Television of Southern California,Media,"40,000 ",4401 Sunset Boulevard,,Los Angeles,CA,90027,2010-11
109,Keshet Chaim Dancers,Dance,"6,200 ",4155 Dixie Canyon Avenue,,Sherman Oaks,CA,91423,2010-11
110,Kodo Arts Sphere America,Traditional/Folk,"4,000 ",P.O. Box 64-2904,,Los Angeles,CA,90064,2010-11
111,L A Freewaves,Media,"8,200 ",6522 Hollywood Boulevard,,Los Angeles,CA,90028,2010-11
112,L A Stage Alliance,Business Management & Arts Advocacy,"18,000 ",644 S. Figueroa Street,,Los Angeles,CA,90017,2010-11
113,LA Contemporary Dance,Dance,"4,700 ",8033 Sunset Boulevard,,Los Angeles,CA,90046,2010-11
114,La Danserie,Dance,"3,200 ",9759 Mason Avenue,,Chatsworth,CA,91311,2010-11
115,LA Theatre Works,Multi-disciplinary,"22,000 ",681 Venice Boulevard,,Venice,CA,90291-4805,2010-11
