Grantee Name,Discipline,Grant Award,Project,OGP Category,Grantee Website,Application Year
24th Street Theatre,Theatre,$33800.00,To support the development of a touring program.,II,http://www.24thstreet.org,2014-15
A Noise Within,Theatre,$36600.00,"To support outreach activities, events and programs.",III,http://www.anoisewithin.org,2014-15
A Window Between Worlds,Visual Arts,$39600.00,"To support a new staff position, artist collaboration and convening.",2.5,http://www.awbw.org,2014-15
Acme Performance Group,Theatre,$16400.00,To support the creation of a new play development program.,I,http://www.movingarts.org,2014-15
Actors Gang  Inc.,Theatre,$30500.00,To support artistic and management salaries.,II,http://www.theactorsgang.com,2014-15
Angel City Arts,Presenting,$11400.00,To support the Angel City Jazz Festival.,II,http://www.angelcityarts.org,2014-15
Aresis Ensemble d.b.a City Garage,Theatre,$23200.00,To support the salary of the artistic director.,I,http://www.citygarage.org,2014-15
"Armand Hammer Museum of Art and Cultural Center, Inc.",Visual Arts,$114700.00,To support the public engagement program.,III,http://www.hammer.ucla.edu,2014-15
Armory Center for the Arts,Arts Education,$52200.00,To support free arts programming.,III,http://www.armoryarts.org,2014-15
Artist Consortium,Dance,$9800.00,To support administrative development.,I,http://www.haekyungleeanddancers.org,2014-15
Arts & Services for Disabled,Multidisciplinary,$38000.00,To support outreach programs.,III,http://www.artsandservices.org,2014-15
Arts for LA,Arts Service ,$29600.00,To support the salaries of the executive and development directors.,II,http://www.artsforla.org,2014-15
Association for the Advancement of Filipino Arts & Culture,Multidisciplinary,$14600.00,To support staff salaries.,II,http://www.filamarts.org,2014-15
Autry National Center of the American West,Theatre,$108900.00,To support the development and presentation of new work for the stage by Native American writers.,III,http://www.autrynationalcenter.org,2014-15
Beach Cities Symphony,Music-Instrumental,$9400.00,To support free classical music concerts.,I,http://www.beachcitiessymphony.org,2014-15
"Benita Bike's DanceArt, Inc.",Dance,$3600.00,To support dancer fees.,I,http://www.DanceArt.org,2014-15
Body Weather Laboratory,Dance,$14900.00,To support the Flower of the Season dance performance series and movement research workshops.,I,http://www.lightningshadow.com,2014-15
Burbank Philharmonic Orchestra,Music-Instrumental,$22500.00,To support fees for musicians and music director/conductor; cost of site rentals for performances.,I,,2014-15
California Alliance for Arts Education,Arts Service ,$23300.00,"To support the review, customization, and re-organization of our database system, staff training on database metrics and analytics.",2.5,http://www.artsed411.org,2014-15
Camerata Singers of Long Beach,Music-Choral/Opera,$12500.00,To support a second orchestrated performance in the annual season.,II,http://www.longbeachcameratasingers.org,2014-15
Cantori Domino,Music-Choral/Opera,$14000.00,To support transition management.,I,http://www.cantoridomino.org,2014-15
Center for Cultural Innovation,Arts Service ,$40600.00,To support services for artists.,2.5,http://www.cciarts.org,2014-15
Chalk Repertory Theatre,Theatre,$4300.00,To support a new co-artistic producing director position.,I,http://www.chalkrep.com,2014-15
Chorale Bel Canto,Music-Choral/Opera,$18500.00,"To support costs for venues, printing and mailing, and executive director salary.",I,http://www.choralebelcanto.org,2014-15
Claremont Chorale  Inc.,Music-Choral/Opera,$11400.00,To support two concerts of a major choral work with orchestra.,I,http://www.claremontchorale.org,2014-15
Claremont Community School of Music,Arts Education,$27600.00,To support instructor salaries for an expanded ensemble and group class program.,2.5,http://www.claremontmusic.org,2014-15
Coeurage Theatre Company,Theatre,$7800.00,To support theatre programming and venue rental.,I,http://www.coeurage.org,2014-15
Collage Dance Theatre,Dance,$18900.00,To support three administrative positions.,II,http://www.collagedancetheatre.org,2014-15
CONTRA-TIEMPO  Inc.,Dance,$23700.00,To support artistic director salary.,II,http://www.contra-tiempo.org,2014-15
