Museum,Location,City
American Indian Museum & Culture Center,"PO Box 721
Pomona, CA 91769
",Pomona
Baseball Reliquary,"PO Box 1850
Monrovia, CA 91017
",Monrovia
Burbank Aviation Museum,"PO Box 1215
Burbank, CA 91507
",Burbank
California African American Museum ,"600 State Drive Exposition Park
Los Angeles, CA 90037
",Los Angeles
California Museum Of Ancient Art,"PO Box 10515
Beverly Hills, CA 90213
",Beverly Hills
Catalina Island Museum Society,"PO Box 366
Avalon, CA 90704
",Avalon
Claremont Museum Of Art,"PO Box 1136
Claremont, CA 91711
",Claremont
Doctors House Museum,"PO Box 4173
Glendale, CA 91222
",Glendale
Earl Burns Miller Japanaese Garden,"1250 Bellfower Bolevard Bac Room 203
Long Beach, CA 90840
",Long Beach
Food Museum,"8424 Sta Mon Blvd Ste A
Los Angeles, CA 90069
",Los Angeles
Fort MacArthur Military Museum Association,"PO Box 268
San Pedro, CA 90733
",San Pedro
Friends Of The Observatory,"12100 Wlshre Blvd Ste 1150
Los Angeles, CA 90025
",Los Angeles
Geography Map Library,"California State University, Northridge 18111 Nordhoff Street
Northridge, CA 91330
",Northridge
Juan Matias Sanchez Adobe,"PO Box 2404
Montebello, CA 90640
",Montebello
Lancaster Museum And Public Art Foundation,"PO Box 304
Lancaster, CA 93584
",Lancaster
Lomita Railroad Foundation,"PO Box 339
Lomita, CA 90717
",Lomita
Los Angeles Toy Doll And Amusements Museum,"PO Box 41011
Los Angeles, CA 90041
",Los Angeles
Monrovia Historical Museum,"PO Box 2359
Monrovia, CA 91017
",Monrovia
Mount Wilson Observatory,"Holladay Rd
La Ca&ntilde;ada Flintridge, CA 91024
",La Cañada Flintridge
Museum Of African-American Art,"PO Box 8418
Los Angeles, CA 90008
",Los Angeles
Museum Of California Design,"PO Box 361370
Los Angeles, CA 90036
",Los Angeles
"Museum Of Chinese American History, Friends Of","125 Paseo De La Plaza Ste 300
Los Angeles, CA 90012
",Los Angeles
Museum Of Fashion Designers And Creators,"PO Box 555236
Los Angeles, CA 90055
",Los Angeles
Rail Giants Train Museum,"PO Box 2250
Pomona, CA 91769
",Pomona
Rusty Relics,"PO Box 3427
Quartz Hill, CA 93586
",Quartz Hill
Santa Monica History Museum,"PO Box 3059
Santa Monica, CA 90408
",Santa Monica
Santa Monica Museum Of Art,"2525 Michigan G-1
Santa Monica, CA 90404
",Santa Monica
Simon Wiesenthal Center,"1399 S Roxbury 2Nd Fl
Los Angeles, CA 90035
",Los Angeles
Southern California Jewish Sports Hall Of Fame,"PO Box 6697
Beverly Hills, CA 90212
",Beverly Hills
T H Pendergast California Parole Museum,"PO Box 5288
Diamond Bar, CA 91765
",Diamond Bar
Textile Museum Associates Of Southern Cal,"PO Box 49160
Los Angeles, CA 90049
",Los Angeles
"University Art Museum, CSULB","1250 Bellflower Blvd.
Long Beach, CA 90840
",Long Beach
USC Fisher Museum Of Art,"823 Exposition Blvd
Los Angeles, CA 90089
",Los Angeles
Wende Museum Of The Cold War,"5741 Buckingham Pkwy Ste E
Culver City, CA 90230
",Culver City
Childrens Museum Of LA,"11800 Foothill Blvd
Sylmar, CA 91342
(34.273421, -118.393568)",Sylmar
French Regional American Museumexchange,"4470 West Sunset Blvd
Los Angeles, CA 90027
(34.098026, -118.286892)",Los Angeles
Museum Of Contemporary Arab Art,"225 W Main Street Floor 2
Alhambra, CA 91801
(34.093933, -118.129487)",Alhambra
Peter Mullin Automotive Museum Foundation,"2242 Purdue Ave
Los Angeles, CA 90064
(34.035709, -118.442011)",Los Angeles
Torrance Historical Society Museum,"1345 Post Avenue
Torrance, CA 90501
(33.835053, -118.31779)",Torrance
Chinese American Museum,"425 N Los Angeles St
Los Angeles, CA 90012
(34.055604, -118.238858)",Los Angeles
Skirball Cultural Center,"2701 N Sepulveda Blvd
Los Angeles, CA 90049
(34.124893, -118.478489)",Los Angeles
Pasadena Museum Of History,"470 W Walnut St
Pasadena, CA 91103
(34.149653, -118.160928)",Pasadena
Latino Museum Of History Art,"514 S Spring St
Los Angeles, CA 90013
(34.046848, -118.250137)",Los Angeles
Heritage Square Museum,"3800 Homer St
Los Angeles, CA 90031
(34.087729, -118.209051)",Los Angeles
Southern California Council Of Quilt Guilds,"2417 Riverside Pl
Los Angeles, CA 90291
(34.100612, -118.253358)",Los Angeles
Frederick R. Weisman Museum Of Art,"24255 Pacific Coast Hwy
Malibu, CA 90263
(34.034699, -118.704447)",Malibu
National Inventors Hall Of Fame And Invention Museum,"403 S Central Ave
Glendale, CA 91204
(34.141431, -118.25788)",Glendale
18th Street Arts Complex,"1639 18th St
Santa Monica, CA 90404
(34.023281, -118.477398)",Santa Monica
Hammer Museum at UCLA,"10899 Wilshire Boulevard
Los Angeles 90024
(34.058728, -118.443894)",Los Angeles
Bhagavad Gita Museum,"3764 Watseka Ave
Los Angeles, CA 90034
(34.02511, -118.397441)",Los Angeles
Queens Historical Society,"2125 Santa Fe Avenue
Long Beach, CA 90810
(33.796298, -118.215524)",Long Beach
San Fernando Cultural Arts And History Museum,"519 S Brand Blvd
San Fernando, CA 91340
(34.279361, -118.443046)",San Fernando
Hollywood History Museum,"1660 N Highland Ave
Los Angeles, CA 90028
(34.100733, -118.338695)",Los Angeles
Autry Museum Of Western Heritage,"4700 Western Heritage Way
Los Angeles, CA 90027
(34.147361, -118.282307)",Los Angeles
Melody Ranch Motion Picture Museum,"24715 Oakcreek Ave
Newhall, CA 91321
(34.383278, -118.510266)",Newhall
Geffen Contemporary At Moca,"152 N Central Ave
Los Angeles, CA 90012
(34.049462, -118.239032)",Los Angeles
George Westmore Research Library And Museum,"916 W Burbank Blvd
Burbank, CA 91506
(34.183911, -118.322614)",Burbank
Museum Of Music And Instruments,"711 Hampton Dr
Venice, CA 90291
(33.994221, -118.474716)",Venice
Hollywood Entertainment Museum,"1140 N Citrus Ave
Los Angeles, CA 90038
(34.091912, -118.339789)",Los Angeles
American Society Of Military History And Museum,"2615 S Grand Ave
Los Angeles, CA 90007
(34.026374, -118.272342)",Los Angeles
Performing Arts Center Of Los Angeles County,"135 N Grand Avenue
Los Angeles, CA 90012
(34.0569, -118.247778)",Los Angeles
Leonis Adobe Museum,"23537 Calabasas Rd
Calabasas, CA 91302
(34.157257, -118.639728)",Calabasas
Air Museum Of West,"7743 Woodley Ave
Van Nuys, CA 91406
(34.210742, -118.483674)",Van Nuys
Museum Of Cultural Divers,"20700 Avalon Blvd
Carson, CA 90746
(33.843809, -118.263268)",Carson
Ramona Museum Of California History,"339 South Mission Drive
San Gabriel, CA 91776
(34.097467, -118.108575)",San Gabriel
Museum Of Neon Art,"501 W Olympic Blvd
Los Angeles, CA 90015
(34.043327, -118.261121)",Los Angeles
Grammy Museum,"800 W Olympic Blvd Ste A245
Los Angeles, CA 90015
(34.044968, -118.263988)",Los Angeles
Mayme Clayton Library & Museum,"4130 Overland Avenue
Culver City, CA 90230
(34.013001, -118.4017)",Culver City
Art Center Los Angeles,"7466 Beverly Blvd Suite105
Los Angeles, CA 90036
(34.076149, -118.352805)",Los Angeles
Center For Visual Music,"453 S Spring St Ste 834
Los Angeles, CA 90013
(34.047602, -118.249423)",Los Angeles
Play & Learn LA Childrens Museum & Community Center,"36 Breeze Ave
Venice, CA 90291
(33.990729, -118.475375)",Venice
Long Beach Museum Of Art,"2300 East Ocean Blvd.
Long Beach, CA 90803
(33.764263, -118.167015)",Long Beach
Old Town Music Hall,"140 Richmond St
El Segundo, CA 90245
(33.917595, -118.417173)",El Segundo
Tomorrow'S Aeronautical Museum,"961 W Alondra Blvd
Compton, CA 90220
(33.888571, -118.241)",Compton
Corita Art Center,"5515 Franklin Avenue
Los Angeles, CA 90028
(34.105372, -118.310737)",Los Angeles
American Museum Of Ceramic Art,"399 N Garey Ave
Pomona, CA 91767
(34.06117, -117.750255)",Pomona
Griffith Observatory,"4800 Western Heritage Way
Los Angeles, CA 90027
(34.1466, -118.284425)",Los Angeles
LBFD Museum,"1465 Peterson Ave
Long Beach, CA 90813
(33.785633, -118.173073)",Long Beach
Los Angeles Museum Of The Holocaust,"100 The Grove Dr
Los Angeles, CA 90036
(34.073486, -118.356323)",Los Angeles
Petersen Automotive Museum,"6060 Wilshire Blvd
Los Angeles, CA 90036
(34.062865, -118.360971)",Los Angeles
Fidm Museum And Library,"919 S Grand Ave
Los Angeles, CA 90015
(34.043971, -118.259689)",Los Angeles
Animal History Museum,"530 South Lake Avenue Box 444
Pasadena, CA 91101
(34.136737, -118.132202)",Pasadena
Lake Arrowhead Gallery And Museum Of Art,"215 West 6th Street 612
Los Angeles, CA 90014
(34.045949, -118.250974)",Los Angeles
SCA Gallery,"281 S Thomas Street 104
Pomona, CA 91766
(34.057144, -117.751224)",Pomona
Hancock Memorial Museum,"University Avenue At Childs Way
Los Angeles, CA 90089
(34.020322, -118.285246)",Los Angeles
Ruth Chandler Williamson Gallery,"1030 Columbia Ave
Claremont, CA 91711
(34.103999, -117.711523)",Claremont
Fowler Museum At UCLA,"308 Charles E Young Dr W
Los Angeles, CA 90024
(34.072174, -118.449541)",Los Angeles
Hurst Ranch Historical Foundations,"1227 S Orange Ave
West Covina, CA 91790
(34.063894, -117.951855)",West Covina
Norton Simon Museum Of Art,"411 W Colorado Blvd
Pasadena, CA 91105
(34.145734, -118.159315)",Pasadena
La Brea Tar Pits,"5801 Wilshire Blvd
Los Angeles, CA 90036
(34.062507, -118.354926)",Los Angeles
Craft And Folk Art Museum,"5800 Wilshire Blvd.
Los Angeles, CA 90036
(34.062392, -118.355287)",Los Angeles
Blitzstein Museum Of Art,"428 N Fairfax Ave
Los Angeles, CA 90036
(34.079049, -118.361451)",Los Angeles
Montgomery Art Center,"333 N College Way
Claremont, CA 91711
(34.097473, -117.71288)",Claremont
Long Beach Museum Art,"2300 E Ocean Blvd
Long Beach, CA 90803
(33.764263, -118.167015)",Long Beach
NHRA Motorsports Museum,"2035 E Financial Way
Glendora, CA 91741
(34.128915, -117.825432)",Glendora
Richard Riordan Central Library,"630 W 5th St
Los Angeles, CA 90071
(34.051258, -118.255468)",Los Angeles
Ad Museum,"8560 W Sunset Blvd
West Hollywood, CA 90069
(34.093197, -118.378189)",West Hollywood
Los Angeles Contemporary Exhibitions,"6522 Hollywood Blvd
Hollywood, CA 90028
(34.101586, -118.331975)",Hollywood
Sproul Museum,"12237 Sproul St
Norwalk, CA 90650
(33.908136, -118.071101)",Norwalk
Armory Center For The Arts,"145 N Raymond Ave
Pasadena, CA 91103
(34.148364, -118.148911)",Pasadena
Hollywood Heritage Museum,"2100 N Highland Ave
Los Angeles, CA 90068
(34.108534, -118.336866)",Los Angeles
Sports Museum Of Los Angeles,"1900 S Main St
Los Angeles, CA 90007
(34.030979, -118.264686)",Los Angeles
International Puppetry Museum,"702 The Strand
Hermosa Beach, CA 90254
(33.858319, -118.400408)",Hermosa Beach
Heritage Square Museum,"100 South Los Robles, Suite 470
Pasadena, CA 91101
(34.143971, -118.141403)",Pasadena
Center For Land Use Interpretation,"9331 Venice Blvd
Culver City, CA 90232
(34.025913, -118.394498)",Culver City
Japanese American National Museum,"100 N Central Ave
Los Angeles, CA 90012
(34.049189, -118.239087)",Los Angeles
Automobile Driving Museum,"600 Lairport St
El Segundo, CA 90245
(33.924074, -118.392702)",El Segundo
Screenwriting Museum Project,"2525 Michigan Aven
Santa Monica, CA 90404
(34.027149, -118.468293)",Santa Monica
Dixon Lange Family Museum,"15260 Ventura Blvd Ste 1750
Sherman Oaks, CA 91403
(34.153691, -118.465397)",Sherman Oaks
Santa Ana Police Museum And Heritage Society,"10153 Riverside Dr
Toluca Lake, CA 91602
(34.152206, -118.352291)",Toluca Lake
Grand Vision Foundation,"434 W 6th St
San Pedro, CA 90731
(33.738753, -118.286546)",San Pedro
Hollywood Erotic Museum,"6741 Hollywood Blvd
Los Angeles, CA 90028
(34.101554, -118.337186)",Los Angeles
Asto Museum Of Art,"4505 Huntington Dr S
Los Angeles, CA 90032
(34.083777, -118.188416)",Los Angeles
Glendora Historical Society Museum,"314 N Glendora Ave
Glendora, CA 91741
(34.140216, -117.865452)",Glendora
Pacific Science,"23923 Crosson Dr
Woodland Hills, CA 91367
(34.178305, -118.648117)",Woodland Hills
El Molino Viejo,"1120 Old Mill Rd
San Marino, CA 91108
(34.118886, -118.127524)",San Marino
Museum Of The San Fernando Valley,"21031 Ventura Blvd Ste 419
Woodland Hills, CA 91364
(34.166751, -118.591636)",Woodland Hills
Discovery Center For Science And Tech,"5655 Lindero Canyon Rd
Thousand Oaks, CA 91362
(34.153131, -118.799913)",Thousand Oaks
Museum Of Latin American Art,"628 Alamitos Ave
Long Beach, CA 90802
(33.774473, -118.180468)",Long Beach
Columbia Memorial Space Center,"12400 Columbia Way
Downey, CA 90242
(33.919654, -118.134092)",Downey
Mak Center Mackey House,"1137 S Cochran Ave
Los Angeles, CA 90019
(34.054648, -118.35013)",Los Angeles
Lane Victory Maritime Museum,"94 Berth
San Pedro, CA 90731
(33.74951, -118.274809)",San Pedro
Hathaway Ranch Museum,"11901 Florence Ave
Santa Fe Springs, CA 90670
(33.935307, -118.079745)",Santa Fe Springs
Lummis Home And Garden,"200 E Avenue 43
Los Angeles, CA 90031
(34.093474, -118.206638)",Los Angeles
Korean American Museum,"3727 W 6th St Ste 400
Los Angeles, CA 90010
(34.063554, -118.303795)",Los Angeles
Mak Center For Art And Architecture,"835 N Kings Rd
Los Angeles, CA 90069
(34.086409, -118.371733)",Los Angeles
American Museum Of Beat Art,"506 N Garfield Ave Ste
Alhambra, CA 91801
(34.100358, -118.130492)",Alhambra
Apexmuseum,"1535 Loma Ave
Long Beach, CA 90804
(33.786485, -118.150226)",Long Beach
California Art Academy And Museum,"75 S Grand Ave
Pasadena, CA 91105
(34.144863, -118.16182)",Pasadena
Armenian Museum,"1436 W Glenoaks Blvd
Glendale, CA 91201
(34.168105, -118.285702)",Glendale
Pasadena Museum Of California Art,"495 E Colorado Blvd
Pasadena, CA 91101
(34.145854, -118.140221)",Pasadena
El Pueblo De Los Angeles Historic Monument,"125 Paseo De La Plz
Los Angeles, CA 90012
(34.05569, -118.239472)",Los Angeles
Pacific Battleship Center,"250 Harbor Blvd Berth 87
San Pedro, CA 90731
(33.744927, -118.279574)",San Pedro
We The Children Foundation,"8843 Pickford St
Los Angeles, CA 90035
(34.050765, -118.385776)",Los Angeles
American Military Museum American Heritage Park,"1918 Rosemead Blvd
El Monte, CA 91733
(34.049736, -118.064199)",El Monte
Architecture And Design Museum,"5900 Wilshire Blvd
Los Angeles, CA 90036
(34.062596, -118.358627)",Los Angeles
Norton Simon Foundation,"385 E Colorado Blvd
Pasadena, CA 91101
(34.145838, -118.142268)",Pasadena
California Heritage Museum,"2612 Main St
Santa Monica, CA 90405
(34.002217, -118.483806)",Santa Monica
Los Angeles County Museum Of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",Los Angeles
Connecting Cultures Museum,"2558 Aiken Ave
Los Angeles, CA 90064
(34.041163, -118.416984)",Los Angeles
Filpino American National Museum Of Los Angels,"2001 W Beverly Blvd Suite 201
Los Angeles, CA 90057
(34.066022, -118.268857)",Los Angeles
Velaslavasay Panorama,"1122 W 24th St
Los Angeles, CA 90007
(34.034389, -118.28468)",Los Angeles
University Art Gallery - CSU Dominguez Hills,"1000 E Victoria St
Carson, CA 90747
(33.867152, -118.258715)",Carson
Banning Residence Museum,"401 E M St
Wilmington, CA 90744
(33.789074, -118.258611)",Wilmington
Rancho Los Cerritos Historic Site,"4600 N Virginia Rd
Long Beach, CA 90807
(33.83757, -118.195499)",Long Beach
American Museum Of Straw Art,"2324 Snowden Ave
Long Beach, CA 90815
(33.80019, -118.11162)",Long Beach
California Sneaker Museum,"264 S La Cienega Blvd
Beverly Hills, CA 90211
(34.063232, -118.376145)",Beverly Hills
Childrens Museum Of Los Angeles,"3250 Ocean Park Blvd Ste 350
Santa Monica, CA 90405
(34.021105, -118.451828)",Santa Monica
Dunbar Hotel Cultural & Hist. Museum,"4225 S Central Ave
Los Angeles, CA 90011
(34.006848, -118.256496)",Los Angeles
Folk Music Center,"220 Yale Ave
Claremont, CA 91711
(34.095984, -117.717902)",Claremont
Barnsdall Park,"4800 Hollywd Blvd
Los Angeles, CA 90027
(34.101763, -118.294505)",Los Angeles
Latino Art Museum,"281 S Thomas St Ste 105
Pomona, CA 91766
(34.057144, -117.751224)",Pomona
Pico Rivera Historical Museum,"9122 Washington Blvd
Pico Rivera, CA 90660
(33.981881, -118.094646)",Pico Rivera
Inglewood Cultural Arts,"2722 W 77th St
Inglewood, CA 90305
(33.969978, -118.323942)",Inglewood
Ventura County Discovery Center,"5655 Lindero Cyn Rd Ste 422
Westlake Village, CA 91362
(34.153259, -118.79961)",Westlake Village
Benjamin Creme Museum Of Art,"11733 Kiowa Ave Ap
Los Angeles, CA 90049
(34.050355, -118.463404)",Los Angeles
San Fernando Valley Relics,"13212 Raymer St
N Hollywood, CA 91605
(34.205867, -118.420359)",N Hollywood
