School District (or Charter Network),Cycle,Award Amount,Purpose
East Whittier City Elementary,2015-16,$18400,To support district-wide teacher professional development in visual arts and theatre instruction from The California Arts Project
Hacienda La Puente Unified,2015-16,$20800,To support arts integration curriculum and professional development district wide
Little Lake City Elementary,2015-16,$11700,To support theatre residencies for third through eighth grade from the Drama Education Network
El Rancho Unified,2015-16,$19100,"To support assessment, communications and curriculum development led by the Visual and Performing Arts Council"
Beverly Hills Unified,2015-16,$18100,"To support professional development in dance and theatre for kindergarten and first grade teachers, conference attendance for Visual and Performing Arts Specialists and increasing the work hours of the VAPA Coordinator"
Glendale Unified,2015-16,$15700,To support the purchase of musical instruments for secondary school sites district wide
Palos Verdes Peninsula Unified,2015-16,$10400,"To support district-wide visual arts teacher professional development for second grade, and artist residencies for fourth grade from Palos Verdes Art Center"
Manhattan Beach Unified,2015-16,$19500,"To support district-wide artist residencies in dance and theatre for kindergarten though fifth grade, and a Visual and Performing Arts Lead position that will oversee the district arts plan"
Duarte Unified,2015-16,$19800,To support the expansion of the elementary music program through additional teachers and instruments
Mountain View Elementary,2015-16,$17000,To support district-wide artist residencies in puppetry that build English Language Arts skills for second through fourth grade
Saugus Union,2015-16,$20200,"To support professional development in arts integration, artist residencies, school performances and field trips for students"
Santa Monica-Malibu Unified,2015-16,$20500,To support district-wide artist residencies in dance for fifth grade from Dancing Classrooms
Las Virgenes Unified,2015-16,$16000,"To support teacher professional development in music integration and residencies from musician, Andrew Grueschow"
Culver City Unified,2015-16,$19800,To support district-wide professional development and artist residencies from the Symphonic Jazz Orchestra for kindergarten through third grade
Castaic Union,2015-16,$16400,"To support the expansion of the elementary music program, to grow student attendance at performances and to partner with the Kennedy Center for teacher professional development"
Whittier City Elementary,2015-16,$19400,To support district-wide music instruction for third through fifth grade by hiring an additional instructor
Centinela Valley Union High,2015-16,$19500,To support expanded opportunities for students to showcase their artwork and to experience the work of professional artists
Keppel Union Elementary,2015-16,$16400,To support district-wide professional development in visual arts integration
Pomona Unified,2015-16,$18400,To support professional development in visual arts instruction from The California Arts Project
ICEF Public Schools,2015-16,$15800,To support teacher professional development in visual arts instruction for Lou Dantzler Elementary School from The Armory Center for the Arts
Hawthorne,2015-16,$17900,To support district-wide professional development on arts integration
Lancaster Elementary,2015-16,$10000,"To support the CREATE Festival, a showcase of student artwork"
Monrovia Unified,2015-16,$10000,To support the expansion of the district-wide music program for kindergarten through third grade
